onset	duration	trial_type	onset_response	response_time	news_no	news_type	value
0.037	4.962	intro&rest	n/a	n/a	n/a	n/a	n/a
5.103	17.896	sharingrating1	23.103	3	78	F	4
26.136	2.241	fixations	n/a	n/a	n/a	n/a	n/a
28.469	17.908	sharingrating1	46.468	3	120	R	6
49.502	2.747	fixations	n/a	n/a	n/a	n/a	n/a
52.352	17.897	sharingrating1	70.351	3	51	F	1
73.284	2.052	fixations	n/a	n/a	n/a	n/a	n/a
75.434	17.902	sharingrating1	93.434	3	43	F	1
96.467	1.528	fixations	n/a	n/a	n/a	n/a	n/a
98.1	17.895	sharingrating1	116.1	3	35	F	1
119.133	2.359	fixations	n/a	n/a	n/a	n/a	n/a
121.583	17.909	sharingrating1	139.599	3	22	R	2
142.632	1.419	fixations	n/a	n/a	n/a	n/a	n/a
144.149	17.902	sharingrating1	162.148	3	109	R	1
165.081	2.726	fixations	n/a	n/a	n/a	n/a	n/a
167.898	17.909	sharingrating1	185.898	3	40	F	3
188.931	1.829	fixations	n/a	n/a	n/a	n/a	n/a
190.864	17.896	sharingrating1	208.847	3	67	F	4
211.88	1.764	fixations	n/a	n/a	n/a	n/a	n/a
213.747	17.897	sharingrating1	231.746	3	18	R	4
234.779	1.87	fixations	n/a	n/a	n/a	n/a	n/a
236.796	17.853	sharingrating1	254.745	3	21	R	2
257.779	2.499	fixations	n/a	n/a	n/a	n/a	n/a
260.379	17.899	sharingrating1	278.378	3	49	F	2
281.411	2.059	fixations	n/a	n/a	n/a	n/a	n/a
283.578	17.892	sharingrating1	301.561	3	93	R	5
304.594	2.006	fixations	n/a	n/a	n/a	n/a	n/a
306.71	17.89	sharingrating1	324.693	3	17	R	6
327.727	1.417	fixations	n/a	n/a	n/a	n/a	n/a
329.243	17.901	sharingrating1	347.243	3	68	F	3
350.276	1.472	fixations	n/a	n/a	n/a	n/a	n/a
351.859	17.889	sharingrating1	369.842	3	2	R	3
372.775	2.914	fixations	n/a	n/a	n/a	n/a	n/a
375.808	17.881	sharingrating1	393.791	3	97	R	4
396.824	2.086	fixations	n/a	n/a	n/a	n/a	n/a
398.991	17.919	sharingrating1	417.007	3	23	R	6
420.04	1.175	fixations	n/a	n/a	n/a	n/a	n/a
421.307	17.908	sharingrating1	439.306	3	133	F	1
442.24	1.443	fixations	n/a	n/a	n/a	n/a	n/a
443.79	17.893	sharingrating1	461.772	3	132	F	5
464.806	2.25	fixations	n/a	n/a	n/a	n/a	n/a
467.156	17.9	sharingrating1	485.155	3	29	R	3
488.188	2.099	fixations	n/a	n/a	n/a	n/a	n/a
490.405	17.882	sharingrating1	508.388	3	8	R	1
511.321	1.886	fixations	n/a	n/a	n/a	n/a	n/a
513.321	17.886	sharingrating1	531.32	3	50	F	1
534.353	2.24	fixations	n/a	n/a	n/a	n/a	n/a
536.687	17.906	sharingrating1	554.686	3	42	F	2
557.719	2.016	fixations	n/a	n/a	n/a	n/a	n/a
559.836	17.899	sharingrating1	577.835	3	83	F	5
580.869	1.419	fixations	n/a	n/a	n/a	n/a	n/a
582.385	17.903	sharingrating1	600.385	3	13	R	4
603.418	1.405	fixations	n/a	n/a	n/a	n/a	n/a
604.951	17.872	sharingrating1	622.934	3	98	R	2
625.967	2.962	fixations	n/a	n/a	n/a	n/a	n/a
629.034	17.895	sharingrating1	647.033	3	19	R	1
650.067	1.063	fixations	n/a	n/a	n/a	n/a	n/a
651.233	17.897	sharingrating1	669.233	3	111	R	4
672.266	1.469	fixations	n/a	n/a	n/a	n/a	n/a
673.833	17.902	sharingrating1	691.832	3	129	F	5
694.865	2.181	fixations	n/a	n/a	n/a	n/a	n/a
697.148	17.898	sharingrating1	715.148	3	110	R	1
718.181	1.514	fixations	n/a	n/a	n/a	n/a	n/a
719.781	17.914	sharingrating1	737.797	3	87	F	1
740.73	2.395	fixations	n/a	n/a	n/a	n/a	n/a
743.23	17.895	sharingrating1	761.23	3	117	R	3
764.263	1.838	fixations	n/a	n/a	n/a	n/a	n/a
766.196	17.905	sharingrating1	784.196	3	7	R	6
787.229	2.766	fixations	n/a	n/a	n/a	n/a	n/a
790.096	17.899	sharingrating1	808.095	3	37	F	4
811.128	2.606	fixations	n/a	n/a	n/a	n/a	n/a
813.828	17.906	sharingrating1	831.828	3	11	R	6
834.861	2.049	fixations	n/a	n/a	n/a	n/a	n/a
837.011	17.899	sharingrating1	855.01	3	123	F	5
858.044	1.398	fixations	n/a	n/a	n/a	n/a	n/a
859.544	17.898	sharingrating1	877.543	3	130	F	5
880.576	1.557	fixations	n/a	n/a	n/a	n/a	n/a
882.226	17.907	sharingrating1	900.226	3	122	F	3
903.259	1.752	fixations	n/a	n/a	n/a	n/a	n/a
905.109	17.902	sharingrating1	923.108	3	71	F	5
926.042	2.183	fixations	n/a	n/a	n/a	n/a	n/a
928.258	2.967	intro&rest	n/a	n/a	n/a	n/a	n/a
931.258	4.967	intro&rest	n/a	n/a	n/a	n/a	n/a
936.324	17.901	accuracyrating	954.324	3	96	R	6
957.357	1.295	fixations	n/a	n/a	n/a	n/a	n/a
958.757	17.895	accuracyrating	976.757	3	70	F	5
979.79	2.392	fixations	n/a	n/a	n/a	n/a	n/a
982.273	17.909	accuracyrating	1000.273	3	81	F	3
1003.306	1.427	fixations	n/a	n/a	n/a	n/a	n/a
1004.839	17.894	accuracyrating	1022.822	3	79	F	2
1025.855	2.249	fixations	n/a	n/a	n/a	n/a	n/a
1028.205	17.899	accuracyrating	1046.204	3	95	R	6
1049.238	1.373	fixations	n/a	n/a	n/a	n/a	n/a
1050.704	17.907	accuracyrating	1068.704	3	38	F	2
1071.737	1.998	fixations	n/a	n/a	n/a	n/a	n/a
1073.837	17.898	accuracyrating	1091.836	3	4	R	5
1094.87	2.656	fixations	n/a	n/a	n/a	n/a	n/a
1097.62	17.906	accuracyrating	1115.619	3	64	F	6
1118.652	1.525	fixations	n/a	n/a	n/a	n/a	n/a
1120.285	17.892	accuracyrating	1138.285	3	25	R	6
1141.318	2.333	fixations	n/a	n/a	n/a	n/a	n/a
1143.751	17.9	accuracyrating	1161.751	3	47	F	5
1164.784	2.499	fixations	n/a	n/a	n/a	n/a	n/a
1167.384	17.899	accuracyrating	1185.383	3	86	F	3
1188.417	1.787	fixations	n/a	n/a	n/a	n/a	n/a
1190.3	17.904	accuracyrating	1208.316	3	32	F	3
1211.349	1.758	fixations	n/a	n/a	n/a	n/a	n/a
1213.216	17.891	accuracyrating	1231.199	3	31	F	5
1234.232	2.32	fixations	n/a	n/a	n/a	n/a	n/a
1236.649	17.903	accuracyrating	1254.648	3	26	R	6
1257.681	2.188	fixations	n/a	n/a	n/a	n/a	n/a
1259.981	17.888	accuracyrating	1277.981	3	106	R	1
1280.897	2.124	fixations	n/a	n/a	n/a	n/a	n/a
1283.131	17.89	accuracyrating	1301.13	3	55	F	3
1304.047	1.772	fixations	n/a	n/a	n/a	n/a	n/a
1305.913	17.906	accuracyrating	1323.913	3	12	R	1
1326.846	1.66	fixations	n/a	n/a	n/a	n/a	n/a
1328.596	17.91	accuracyrating	1346.612	3	15	R	1
1349.645	2.409	fixations	n/a	n/a	n/a	n/a	n/a
1352.162	17.892	accuracyrating	1370.161	3	9	R	2
1373.078	1.964	fixations	n/a	n/a	n/a	n/a	n/a
1375.144	17.898	accuracyrating	1393.144	3	1	R	3
1396.177	1.619	fixations	n/a	n/a	n/a	n/a	n/a
1397.827	2.969	intro&rest	n/a	n/a	n/a	n/a	n/a
1400.827	4.969	intro&rest	n/a	n/a	n/a	n/a	n/a
1405.893	17.903	sharingrating2	1423.893	3	99	R	5
1426.826	2.401	fixations	n/a	n/a	n/a	n/a	n/a
1429.326	17.901	sharingrating2	1447.326	3	65	F	6
1450.359	2.043	fixations	n/a	n/a	n/a	n/a	n/a
1452.509	17.893	sharingrating2	1470.508	3	73	F	6
1473.541	1.989	fixations	n/a	n/a	n/a	n/a	n/a
1475.625	17.905	sharingrating2	1493.624	3	34	F	6
1496.657	1.97	fixations	n/a	n/a	n/a	n/a	n/a
1498.724	17.903	sharingrating2	1516.723	3	45	F	2
1519.757	2.798	fixations	n/a	n/a	n/a	n/a	n/a
1522.64	17.915	sharingrating2	1540.656	3	20	R	4
1543.689	1.856	fixations	n/a	n/a	n/a	n/a	n/a
1545.639	17.906	sharingrating2	1563.639	3	101	R	1
1566.572	1.363	fixations	n/a	n/a	n/a	n/a	n/a
1568.038	17.897	sharingrating2	1586.038	3	39	F	1
1589.071	1.253	fixations	n/a	n/a	n/a	n/a	n/a
1590.421	17.903	sharingrating2	1608.421	3	10	R	1
1611.454	2.371	fixations	n/a	n/a	n/a	n/a	n/a
1613.92	17.905	sharingrating2	1631.92	3	88	F	5
1634.953	1.266	fixations	n/a	n/a	n/a	n/a	n/a
1636.303	17.916	sharingrating2	1654.319	3	44	F	1
1657.252	1.617	fixations	n/a	n/a	n/a	n/a	n/a
1658.952	17.917	sharingrating2	1676.969	3	41	F	1
1680.002	2.223	fixations	n/a	n/a	n/a	n/a	n/a
1682.318	17.907	sharingrating2	1700.334	3	14	R	4
1703.368	1.803	fixations	n/a	n/a	n/a	n/a	n/a
1705.251	17.92	sharingrating2	1723.251	3	66	F	3
1726.284	2.336	fixations	n/a	n/a	n/a	n/a	n/a
1728.717	17.903	sharingrating2	1746.716	3	30	R	1
1749.749	2.627	fixations	n/a	n/a	n/a	n/a	n/a
1752.516	17.86	sharingrating2	1770.482	3	5	R	5
1773.516	2.284	fixations	n/a	n/a	n/a	n/a	n/a
1775.899	17.901	sharingrating2	1793.898	3	69	F	2
1796.932	1.395	fixations	n/a	n/a	n/a	n/a	n/a
1798.448	17.879	sharingrating2	1816.431	3	3	R	3
1819.464	1.894	fixations	n/a	n/a	n/a	n/a	n/a
1821.481	17.877	sharingrating2	1839.463	3	16	R	6
1842.497	2.314	fixations	n/a	n/a	n/a	n/a	n/a
1844.913	17.898	sharingrating2	1862.913	3	6	R	1
1865.946	1.524	fixations	n/a	n/a	n/a	n/a	n/a
1867.513	1.957	intro&rest	n/a	n/a	n/a	n/a	n/a
