bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-01_task-rest_acq-multiband_bold	0.00044962	0.00529878104	0	33.11092671440881	1.0546474533066135	0.9958636072545091	0.5321	564.2891	0.07996179755263394	0	0.0	3.4687623621637678	3.341608200549753	3.4804790283648557	3.584199857576694	0.00834601	-0.016170654445886612	0.09346920251846313	500	90	90	60	1.9774610718839558	0.75	2.4000000953674316	2.4000000953674316	2.4000000953674316	24.6366	8.1543	30.4871	12.0	370121.0	6.0	130.0	53.1156	1.0835	130.3326	298.6714	279.0	115879.0	97.0	555.0	141.0894	41.43435205705464
sub-01_task-run1_acq-multiband_bold	0.004132477911646586	0.028141125746987954	0	34.9748482166091	1.0090804688188038	0.9628215377179583	0.5364	518.9631	0.0939017179284542	39	1.5662650602409638	3.549608192284577	3.3599331998215836	3.4909831946141248	3.7979081824180208	0.00607521	-0.014879380352795124	0.09400645643472672	2490	90	90	60	1.9948077549517307	0.75	2.4000000953674316	2.4000000953674316	2.4000000953674316	22.051	8.1781	31.0827	12.0	370345.0	6.0	132.0	53.4335	1.2393	126.8697	294.7649	275.0	115655.0	102.0	546.0	137.8573	28.186592049663886
sub-01_task-run2_acq-multiband_bold	0.0010079160063391442	0.015893016148969888	0	35.04632660187157	0.997305065836637	0.9599660789611414	0.5385	508.7936	0.1138962628768346	101	8.003169572107765	3.40897903120601	3.2622415370368345	3.3983790316272167	3.5663165249539803	0.00905382	-0.011189225129783154	0.09598775207996368	1262	90	90	60	1.9728109369917497	0.75	2.4000000953674316	2.4000000953674316	2.4000000953674316	22.0564	8.1555	31.2023	12.0	369787.0	6.0	134.0	54.285	1.3323	122.0445	287.1156	267.0	116213.0	97.0	537.0	135.3393	31.741036113817245
sub-02_task-rest_acq-multiband_bold	0.000715	0.0059674841164658625	2	29.485737338430585	1.0406575075653932	0.9938177077665994	0.4904	827.3888	0.056131967109823634	1	0.20080321285140562	3.7146665190590813	3.5777123578344843	3.6810873537267303	3.885199845616029	0.00760385	-0.012815224938094616	0.04837001860141754	498	90	90	60	2.0184762634438282	0.75	2.4000000953674316	2.4000000953674316	2.4000000953674316	55.0736	5.9185	24.4545	10.0	385051.0	6.0	98.0	46.3013	1.4686	122.4814	305.9823	289.0	100949.0	91.0	571.0	143.1766	41.25931998365559
sub-02_task-run1_acq-multiband_bold	0.0007993373493975905	0.02900423215261044	0	29.751402003937304	0.9334615505343522	0.9136563581960616	0.493	756.7219	0.06805997091924494	29	1.1646586345381527	4.050281783500707	3.9813706751278763	3.9730581754581857	4.196416499916057	0.00555633	-0.013544854708015919	0.04584506154060364	2490	90	90	60	2.0434572873499675	0.75	2.4000000953674316	2.4000000953674316	2.4000000953674316	55.151	7.07	25.7132	11.0	386682.0	6.0	103.0	48.799	1.3367	123.1736	309.2574	291.0	99318.0	101.0	576.0	142.405	27.526396349072456
sub-02_task-run2_acq-multiband_bold	0.0006818858954041204	0.009756563748019018	0	29.772874664385448	1.0052010423235507	0.9734951863600331	0.4929	756.6644	0.07171886582883112	41	3.248811410459588	3.7416054068775146	3.6142915230476254	3.6961248531291937	3.9143998444557253	0.00787854	-0.01274259015917778	0.04518520459532738	1262	90	90	60	2.005644441441129	0.75	2.4000000953674316	2.4000000953674316	2.4000000953674316	49.2604	7.0042	25.3168	11.0	385594.0	6.0	102.0	46.2959	1.2309	125.4461	310.1991	291.0	100406.0	96.0	582.0	145.0898	36.92909138742834
sub-03_task-rest_acq-multiband_bold	0.00032806	0.006669672000000001	0	36.3417280269339	1.0933474413627255	0.9765925887575149	0.5072	723.1805	0.07564715918020479	7	1.4	3.2929665358159332	3.2180290387936816	3.28927486929596	3.3715956993581573	0.00328128	-0.016892068088054657	0.05313151329755783	500	90	90	60	2.162729723585711	0.75	2.4000000953674316	2.4000000953674316	2.4000000953674316	20.0891	5.9452	25.3894	10.0	384727.0	6.0	109.0	42.4459	0.4032	118.1871	289.9996	279.0	101273.0	79.0	522.0	129.003	40.092113877646625
sub-03_task-run1_acq-multiband_bold	0.0018995074397126733	0.0103545489687019	2	36.85296515130391	1.1222301925718696	0.9966404925770036	0.5096	675.0598	0.07784736020751169	14	0.7183170856849667	3.3622804219505356	3.2634332036561484	3.3416498672147643	3.481758194980693	0.00168094	-0.01681237295269966	0.051340214908123016	1949	90	90	60	2.144888752713728	0.75	2.4000000953674316	2.4000000953674316	2.4000000953674316	19.1471	7.0479	26.4524	11.0	384903.0	6.0	114.0	43.9187	0.4213	120.7434	293.6044	282.0	101097.0	81.0	532.0	131.4747	36.567807036219165
sub-03_task-run2_acq-multiband_bold	0.000506161776367962	0.006245454670896114	1	36.13330169689687	1.1201736891190457	1.0060798404047624	0.5126	633.8618	0.07739651356065706	10	0.7930214115781126	3.240583204564126	3.152720708055468	3.2507707041593115	3.318258201477599	0.00318614	-0.017495395615696907	0.04839957132935524	1261	90	90	60	2.1097440808538312	0.75	2.4000000953674316	2.4000000953674316	2.4000000953674316	19.2416	7.0673	27.1836	11.0	384302.0	6.0	117.0	45.7597	0.5846	117.2002	290.603	277.0	101698.0	79.0	532.0	131.2949	40.45004117884673
sub-04_task-rest_acq-multiband_bold	0.000824989939637827	0.008818108651911469	3	28.63135815816535	0.9886251409677419	0.9658516617540308	0.4931	744.814	0.06429783811980155	0	0.0	3.3478429225242308	3.1685165407611318	3.496599861057605	3.378412365753954	0.00707418	-0.015437286347150803	0.04683931916952133	497	90	90	60	1.986550641010921	0.75	2.4000000953674316	2.4000000953674316	2.4000000953674316	22.3203	7.0521	26.7951	11.0	389636.0	6.0	112.0	45.1889	0.6898	139.2945	316.3151	297.0	96364.0	91.0	584.0	149.5046	36.99182688212022
sub-04_task-run1_acq-multiband_bold	0.022354897631473303	0.0403982973223605	1	29.913298032313236	1.0689439467871498	1.1154728086425676	0.5002	671.6627	0.08158000440113528	67	2.6896828582898435	3.599940134729009	3.3511707001697735	3.8175623483037016	3.6310873557135523	0.00432746	-0.015773557126522064	0.04757588729262352	2491	90	90	60	2.012749435236169	0.75	2.4000000953674316	2.4000000953674316	2.4000000953674316	21.0076	7.0517	27.7156	11.0	388920.0	6.0	115.0	45.9836	0.6705	136.3622	312.817	294.0	97080.0	94.0	578.0	146.0681	20.924702319782227
sub-04_task-run2_acq-multiband_bold	0.001046769596199525	0.007329958242280285	1	34.45860025885897	1.0905645104833608	1.010533491093501	0.4979	716.7789	0.10558403410170392	51	4.038004750593824	3.1804498736202764	3.101529043422975	3.2717165366603322	3.1681040407775227	0.00744288	-0.0111733078956604	0.05507291480898857	1263	90	90	60	1.9888565576681518	0.75	2.4000000953674316	2.4000000953674316	2.4000000953674316	25.1795	5.9351	26.0807	10.0	388121.0	6.0	108.0	46.8129	0.731	122.5653	290.4111	273.0	97879.0	82.0	549.0	137.2641	37.74333977513015
sub-05_task-rest_acq-multiband_bold	0.000404308617234469	0.006271685310621242	1	39.10052263120479	1.095123170983936	0.9965614169477909	0.5576	253.2854	0.13664791504685103	90	18.03607214428858	3.2702693144956174	3.089187377246722	3.3696790327676522	3.3519415334724774	0.00894973	-0.002177176997065544	0.06533589214086533	499	90	90	60	1.9585470854872304	0.75	2.4000000953674316	2.4000000953674316	2.4000000953674316	17.4449	13.6702	39.8323	17.0	377272.0	6.0	165.0	63.4295	0.8845	131.858	286.6125	273.0	108728.0	71.0	536.0	139.3884	38.878777576610446
sub-05_task-run1_acq-multiband_bold	0.0002855461847389558	0.011904361253012048	0	38.08833247167537	1.0524495503053424	0.9805938459943758	0.5601	235.351	0.13384562528318497	415	16.666666666666668	3.3167290348716953	3.1440165417346737	3.3967623650247902	3.4094081978556234	0.0308098	-0.002657513599842787	0.06474185734987259	2490	90	90	60	1.957708582120968	0.75	2.4000000953674316	2.4000000953674316	2.4000000953674316	17.6777	14.7266	40.5395	18.0	378043.0	6.0	168.0	64.3989	0.9529	129.7455	283.9366	270.0	107957.0	73.0	531.0	137.9157	33.51660762238316
