onset	duration	trial_type	onset_response	response_time	news_no	news_type	value
0.03	4.969	intro&rest	n/a	n/a	n/a	n/a	n/a
5.097	17.902	sharingrating1	23.096	3	83	F	5
26.129	1.42	fixations	n/a	n/a	n/a	n/a	n/a
27.646	17.903	sharingrating1	45.645	3	13	R	1
48.679	1.404	fixations	n/a	n/a	n/a	n/a	n/a
50.195	17.888	sharingrating1	68.178	3	110	R	2
71.211	1.514	fixations	n/a	n/a	n/a	n/a	n/a
72.828	17.897	sharingrating1	90.827	3	22	R	2
93.861	1.418	fixations	n/a	n/a	n/a	n/a	n/a
95.377	17.902	sharingrating1	113.377	3	17	R	3
116.41	1.418	fixations	n/a	n/a	n/a	n/a	n/a
117.927	17.901	sharingrating1	135.926	3	51	F	2
138.959	2.053	fixations	n/a	n/a	n/a	n/a	n/a
141.126	17.886	sharingrating1	159.109	3	98	R	1
162.142	2.962	fixations	n/a	n/a	n/a	n/a	n/a
165.192	17.912	sharingrating1	183.191	3	23	R	5
186.224	1.175	fixations	n/a	n/a	n/a	n/a	n/a
187.508	17.891	sharingrating1	205.507	3	19	R	2
208.54	1.064	fixations	n/a	n/a	n/a	n/a	n/a
209.707	17.897	sharingrating1	227.706	3	68	F	2
230.74	1.471	fixations	n/a	n/a	n/a	n/a	n/a
232.306	17.905	sharingrating1	250.306	3	7	R	1
253.339	2.766	fixations	n/a	n/a	n/a	n/a	n/a
256.206	17.899	sharingrating1	274.205	3	43	F	2
277.238	1.528	fixations	n/a	n/a	n/a	n/a	n/a
278.872	17.894	sharingrating1	296.871	3	42	F	1
299.788	2.028	fixations	n/a	n/a	n/a	n/a	n/a
301.921	17.895	sharingrating1	319.92	3	133	F	2
322.953	1.434	fixations	n/a	n/a	n/a	n/a	n/a
324.487	17.9	sharingrating1	342.486	3	130	F	3
345.519	1.557	fixations	n/a	n/a	n/a	n/a	n/a
347.186	17.89	sharingrating1	365.186	3	111	R	5
368.219	1.469	fixations	n/a	n/a	n/a	n/a	n/a
369.785	17.903	sharingrating1	387.785	3	122	F	5
390.818	1.752	fixations	n/a	n/a	n/a	n/a	n/a
392.668	17.902	sharingrating1	410.667	3	21	R	3
413.701	2.499	fixations	n/a	n/a	n/a	n/a	n/a
416.301	17.899	sharingrating1	434.3	3	11	R	4
437.333	2.049	fixations	n/a	n/a	n/a	n/a	n/a
439.483	17.899	sharingrating1	457.483	3	97	R	5
460.516	2.086	fixations	n/a	n/a	n/a	n/a	n/a
462.699	17.903	sharingrating1	480.699	3	37	F	2
483.732	2.606	fixations	n/a	n/a	n/a	n/a	n/a
486.432	17.906	sharingrating1	504.431	3	87	F	2
507.464	2.396	fixations	n/a	n/a	n/a	n/a	n/a
509.964	17.896	sharingrating1	527.964	3	2	R	2
530.997	2.907	fixations	n/a	n/a	n/a	n/a	n/a
533.997	17.907	sharingrating1	551.997	3	117	R	4
555.03	1.838	fixations	n/a	n/a	n/a	n/a	n/a
556.963	17.905	sharingrating1	574.979	3	18	R	2
578.012	1.87	fixations	n/a	n/a	n/a	n/a	n/a
579.996	17.886	sharingrating1	597.978	3	8	R	4
601.012	1.885	fixations	n/a	n/a	n/a	n/a	n/a
602.995	17.902	sharingrating1	620.994	3	29	R	5
624.027	2.099	fixations	n/a	n/a	n/a	n/a	n/a
626.227	17.899	sharingrating1	644.227	3	123	F	4
647.26	1.399	fixations	n/a	n/a	n/a	n/a	n/a
648.744	17.915	sharingrating1	666.76	3	71	F	3
669.793	2.18	fixations	n/a	n/a	n/a	n/a	n/a
672.059	17.914	sharingrating1	690.059	3	67	F	1
693.092	1.764	fixations	n/a	n/a	n/a	n/a	n/a
694.959	17.897	sharingrating1	712.958	3	49	F	4
715.991	2.059	fixations	n/a	n/a	n/a	n/a	n/a
718.158	17.892	sharingrating1	736.157	3	50	F	3
739.191	2.239	fixations	n/a	n/a	n/a	n/a	n/a
741.541	17.889	sharingrating1	759.54	3	129	F	5
762.573	2.181	fixations	n/a	n/a	n/a	n/a	n/a
764.856	17.898	sharingrating1	782.856	3	78	F	4
785.889	2.241	fixations	n/a	n/a	n/a	n/a	n/a
788.222	17.908	sharingrating1	806.222	3	132	F	2
809.255	2.251	fixations	n/a	n/a	n/a	n/a	n/a
811.589	17.917	sharingrating1	829.604	3	120	R	3
832.638	2.747	fixations	n/a	n/a	n/a	n/a	n/a
835.471	17.914	sharingrating1	853.487	3	40	F	2
856.52	1.829	fixations	n/a	n/a	n/a	n/a	n/a
858.454	17.895	sharingrating1	876.453	3	35	F	1
879.486	2.359	fixations	n/a	n/a	n/a	n/a	n/a
881.936	17.909	sharingrating1	899.936	3	93	R	2
902.969	2.006	fixations	n/a	n/a	n/a	n/a	n/a
905.069	17.906	sharingrating1	923.068	3	109	R	2
926.101	2.722	fixations	n/a	n/a	n/a	n/a	n/a
928.868	2.955	intro&rest	n/a	n/a	n/a	n/a	n/a
