onset	duration	trial_type	onset_response	response_time	news_no	news_type	value
0.035	4.967	intro&rest	n/a	n/a	n/a	n/a	n/a
5.101	17.898	fakerating	23.101	3	89	F	1
26.134	2.484	fixations	n/a	n/a	n/a	n/a	n/a
28.734	17.884	fakerating	46.717	3	33	F	1
49.75	2.46	fixations	n/a	n/a	n/a	n/a	n/a
52.317	17.893	fakerating	70.316	3	53	F	3
73.349	1.559	fixations	n/a	n/a	n/a	n/a	n/a
75.016	17.892	fakerating	93.015	3	62	F	2
96.048	2.144	fixations	n/a	n/a	n/a	n/a	n/a
98.299	17.893	fakerating	116.281	3	75	F	5
119.214	2.299	fixations	n/a	n/a	n/a	n/a	n/a
121.614	17.899	fakerating	139.614	3	90	F	5
142.547	1.624	fixations	n/a	n/a	n/a	n/a	n/a
144.28	17.891	fakerating	162.263	3	76	F	2
165.296	1.875	fixations	n/a	n/a	n/a	n/a	n/a
167.263	17.908	fakerating	185.262	3	63	F	2
188.196	2.068	fixations	n/a	n/a	n/a	n/a	n/a
190.362	17.902	fakerating	208.362	3	77	F	2
211.395	1.431	fixations	n/a	n/a	n/a	n/a	n/a
212.928	17.898	fakerating	230.928	3	36	F	2
233.861	1.686	fixations	n/a	n/a	n/a	n/a	n/a
235.578	4.972	intro&rest	n/a	n/a	n/a	n/a	n/a
240.644	17.903	realrating	258.644	3	118	R	5
261.577	2.704	fixations	n/a	n/a	n/a	n/a	n/a
264.377	17.904	realrating	282.376	3	102	R	2
285.409	2.008	fixations	n/a	n/a	n/a	n/a	n/a
287.526	17.891	realrating	305.509	3	121	R	5
308.542	2.567	fixations	n/a	n/a	n/a	n/a	n/a
311.209	17.9	realrating	329.208	3	134	R	6
332.141	1.887	fixations	n/a	n/a	n/a	n/a	n/a
334.125	17.903	realrating	352.124	3	114	R	4
355.157	1.678	fixations	n/a	n/a	n/a	n/a	n/a
356.941	17.894	realrating	374.94	3	113	R	6
377.973	1.728	fixations	n/a	n/a	n/a	n/a	n/a
379.807	17.894	realrating	397.806	3	115	R	1
400.739	1.441	fixations	n/a	n/a	n/a	n/a	n/a
402.289	17.891	realrating	420.289	3	119	R	5
423.322	2.087	fixations	n/a	n/a	n/a	n/a	n/a
425.505	17.904	realrating	443.505	3	112	R	1
446.538	1.474	fixations	n/a	n/a	n/a	n/a	n/a
448.121	17.891	realrating	466.121	3	116	R	4
469.154	2.138	fixations	n/a	n/a	n/a	n/a	n/a
471.32	4.961	intro&rest	n/a	n/a	n/a	n/a	n/a
476.404	17.888	realrating	494.403	3	105	R	2
497.436	1.423	fixations	n/a	n/a	n/a	n/a	n/a
498.97	17.889	realrating	516.969	3	100	R	5
520.002	2.159	fixations	n/a	n/a	n/a	n/a	n/a
522.269	17.892	realrating	540.268	3	103	R	6
543.302	1.313	fixations	n/a	n/a	n/a	n/a	n/a
544.718	17.897	realrating	562.718	3	107	R	6
565.651	2.032	fixations	n/a	n/a	n/a	n/a	n/a
567.784	17.899	realrating	585.784	3	108	R	6
588.717	2.17	fixations	n/a	n/a	n/a	n/a	n/a
590.983	17.904	realrating	608.983	3	28	R	2
612.016	1.399	fixations	n/a	n/a	n/a	n/a	n/a
613.516	17.899	realrating	631.516	3	24	R	1
634.549	2.049	fixations	n/a	n/a	n/a	n/a	n/a
636.699	17.899	realrating	654.698	3	27	R	6
657.631	1.313	fixations	n/a	n/a	n/a	n/a	n/a
659.031	17.913	realrating	677.047	3	104	R	4
680.081	2.544	fixations	n/a	n/a	n/a	n/a	n/a
682.731	17.894	realrating	700.73	3	94	R	4
703.763	1.759	fixations	n/a	n/a	n/a	n/a	n/a
705.547	4.973	intro&rest	n/a	n/a	n/a	n/a	n/a
710.613	17.909	fakerating	728.613	3	91	F	2
731.546	2.144	fixations	n/a	n/a	n/a	n/a	n/a
733.779	17.911	fakerating	751.779	3	58	F	4
754.812	1.945	fixations	n/a	n/a	n/a	n/a	n/a
756.862	17.895	fakerating	774.861	3	128	F	1
777.894	1.63	fixations	n/a	n/a	n/a	n/a	n/a
779.628	17.896	fakerating	797.627	3	127	F	2
800.661	2.505	fixations	n/a	n/a	n/a	n/a	n/a
803.26	17.906	fakerating	821.26	3	131	F	2
824.293	2.274	fixations	n/a	n/a	n/a	n/a	n/a
826.66	17.907	fakerating	844.659	3	61	F	2
847.692	2.146	fixations	n/a	n/a	n/a	n/a	n/a
849.942	17.896	fakerating	867.942	3	57	F	2
870.975	2.573	fixations	n/a	n/a	n/a	n/a	n/a
873.642	17.906	fakerating	891.658	3	85	F	2
894.691	2.461	fixations	n/a	n/a	n/a	n/a	n/a
897.241	17.911	fakerating	915.257	3	72	F	1
918.29	1.897	fixations	n/a	n/a	n/a	n/a	n/a
920.29	17.897	fakerating	938.289	3	74	F	3
941.323	1.911	fixations	n/a	n/a	n/a	n/a	n/a
943.273	2.97	intro&rest	n/a	n/a	n/a	n/a	n/a
