trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.00908691	0.00475
-0.0052	-0.1014	-0.0027	0.00016231562043547262	0.00010995574287564276	-1.7453292519943294e-06	1.24578154	37.7454071	1.09988239	0.12300083462815548	0.00788534	0.00114
-0.0087	-0.0646	0.0267	0.00022165681500327985	5.235987755982989e-05	-0.00030194196059501896	0.97560531	29.55945206	0.95798508	0.09055668456133224	0.0084396	0.00099
-0.0035	0.0237	0.0582	-5.4105206811824215e-05	-8.726646259971648e-06	-0.0002024581932313422	1.04121494	31.54733086	0.98939363	0.14681661564992912	0.00980145	0.00172
-0.0021	0.0214	0.0294	-0.0002478367537831948	-0.000148352986419518	-1.3962634015954635e-05	1.09294641	33.11471939	1.00940861	0.05859267231731522	0.00881922	0.00118
-0.0045	-0.0677	0.0125	-3.839724354387525e-05	-2.268928027592628e-05	6.283185307179586e-05	1.10807097	33.57297134	1.02002274	0.1289948851735331	0.00731128	0.00041
-0.0075	-0.0993	0.0295	0.00015184364492350666	-0.00016406094968746698	-0.00019547687622336493	0.95983458	29.08162117	0.94496873	0.08109606435870417	0.00790036	0.00059
-0.0015	-0.0297	0.0669	0.0	-7.504915783575618e-05	-0.00021118483949131387	0.98339832	29.79556847	0.97241451	0.12582817000215832	0.00965106	0.00111
0.0043	0.0226	0.0336	-0.0003612831551628262	-0.00014486232791552936	-8.726646259971648e-05	1.1012826	33.36729431	1.02829747	0.11915073510670984	0.0092929	0.00125
-0.0027	-0.0441	0.0008	-0.0002722713633111154	-6.45771823237902e-05	5.759586531581287e-05	1.17293894	35.53837967	1.05075653	0.12220796326794896	0.00779951	0.00046
-0.0034	-0.0737	0.004	-0.0001937315469713706	-0.000148352986419518	-5.235987755982988e-06	1.02621269	31.09278488	0.96559486	0.04475737367536342	0.00759393	0.00036
-0.0089	-0.0897	0.012	-3.141592653589793e-05	-0.00021467549799530252	-0.00034208453339088857	0.92892164	28.14500237	0.93253506	0.05777433388230815	0.00778794	0.00052
-0.0073	-0.0465	0.0313	-3.4906585039886588e-06	-0.0002583087292951608	-0.0003717551306747922	0.92179769	27.92915726	0.93733622	0.06916145483078356	0.00870192	0.00077
0.0021	0.0072	0.0242	-0.00034557519189487725	-0.0002530727415391778	-0.0001972222054753592	1.03153539	31.25405312	0.98595379	0.09629267231731521	0.00886792	0.00084
-0.004	-0.0838	-0.0014	-0.00019198621771937622	-0.00019547687622336493	-7.504915783575618e-05	1.15325618	34.94202042	1.03918123	0.13936789435654584	0.0072844	0.00043
-0.0113	-0.1014	0.0114	-3.839724354387525e-05	-0.00029321531433504735	-0.0002513274122871834	1.00881481	30.56565285	0.96100391	0.05908028333693054	0.00727987	0.00025
-0.0117	-0.0683	0.031	-2.4434609527920616e-05	-0.00024609142453120044	-0.00039793506945470715	0.89476174	27.11000633	0.9211312	0.06348470904936626	0.00789744	0.00052
-0.0	0.011	0.0539	-0.0003298672286269283	-0.0002373647782712288	-0.00027750735106709843	1.00823212	30.54799843	0.97226612	0.13562934918732938	0.00942504	0.00098
0.0039	0.0143	0.0248	-0.0005183627878423159	-0.0002897246558310587	-7.504915783575618e-05	1.04758978	31.74048042	0.9896043	0.058465681500328	0.00827146	0.00089
-0.0029	-0.1128	0.0214	-0.00029321531433504735	-0.00023911010752322313	-0.00014311699866353502	1.20689702	36.56726074	1.0694925	0.1544914931321441	0.00678474	0.00032
-0.0094	-0.1104	0.0366	-0.0002548180707911721	-0.0001972222054753592	-0.00020943951023931956	0.92480308	28.02021599	0.93001217	0.03143038285837619	0.00693828	0.00034
-0.0093	-0.0619	0.0568	-0.000307177948351002	-0.0001884955592153876	-0.0002740166925631097	0.94675171	28.68522835	0.95241438	0.07508318530717958	0.00768638	0.00039
