onset	duration	trial_type	onset_response	response_time	news_no	news_type	value
0.027	4.972	intro&rest	n/a	n/a	n/a	n/a	n/a
5.094	17.905	sharingrating1	23.093	3	22	R	4
26.127	1.418	fixations	n/a	n/a	n/a	n/a	n/a
27.643	17.902	sharingrating1	45.643	3	17	R	5
48.676	1.418	fixations	n/a	n/a	n/a	n/a	n/a
50.193	17.901	sharingrating1	68.192	3	109	R	5
71.225	2.722	fixations	n/a	n/a	n/a	n/a	n/a
74.042	17.905	sharingrating1	92.042	3	2	R	5
95.074	2.908	fixations	n/a	n/a	n/a	n/a	n/a
98.074	17.908	sharingrating1	116.074	3	132	F	5
119.107	2.251	fixations	n/a	n/a	n/a	n/a	n/a
121.457	17.901	sharingrating1	139.456	3	49	F	2
142.49	2.058	fixations	n/a	n/a	n/a	n/a	n/a
144.656	17.892	sharingrating1	162.656	3	8	R	3
165.572	1.896	fixations	n/a	n/a	n/a	n/a	n/a
167.572	17.896	sharingrating1	185.572	3	78	F	5
188.605	2.241	fixations	n/a	n/a	n/a	n/a	n/a
190.955	17.891	sharingrating1	208.954	3	98	R	4
211.988	2.961	fixations	n/a	n/a	n/a	n/a	n/a
215.037	17.912	sharingrating1	233.054	3	117	R	5
236.087	1.838	fixations	n/a	n/a	n/a	n/a	n/a
238.02	17.905	sharingrating1	256.019	3	11	R	3
259.053	2.048	fixations	n/a	n/a	n/a	n/a	n/a
261.203	17.898	sharingrating1	279.202	3	123	F	4
282.235	1.399	fixations	n/a	n/a	n/a	n/a	n/a
283.735	17.899	sharingrating1	301.735	3	21	R	3
304.768	2.5	fixations	n/a	n/a	n/a	n/a	n/a
307.368	17.9	sharingrating1	325.367	3	29	R	3
328.401	2.098	fixations	n/a	n/a	n/a	n/a	n/a
330.584	17.915	sharingrating1	348.6	3	87	F	2
351.633	2.396	fixations	n/a	n/a	n/a	n/a	n/a
354.117	17.912	sharingrating1	372.116	3	122	F	2
375.149	1.752	fixations	n/a	n/a	n/a	n/a	n/a
376.999	17.902	sharingrating1	394.999	3	67	F	4
398.032	1.764	fixations	n/a	n/a	n/a	n/a	n/a
399.898	17.898	sharingrating1	417.898	3	97	R	2
420.931	2.086	fixations	n/a	n/a	n/a	n/a	n/a
423.114	17.903	sharingrating1	441.114	3	51	F	5
444.147	2.053	fixations	n/a	n/a	n/a	n/a	n/a
446.297	17.903	sharingrating1	464.296	3	110	R	1
467.23	1.518	fixations	n/a	n/a	n/a	n/a	n/a
468.846	17.902	sharingrating1	486.846	3	35	F	4
489.879	2.359	fixations	n/a	n/a	n/a	n/a	n/a
492.329	17.909	sharingrating1	510.329	3	133	F	2
513.362	1.434	fixations	n/a	n/a	n/a	n/a	n/a
514.895	17.901	sharingrating1	532.894	3	18	R	4
535.828	1.872	fixations	n/a	n/a	n/a	n/a	n/a
537.811	17.889	sharingrating1	555.794	3	83	F	3
558.827	1.42	fixations	n/a	n/a	n/a	n/a	n/a
560.344	17.903	sharingrating1	578.343	3	13	R	4
581.276	1.41	fixations	n/a	n/a	n/a	n/a	n/a
582.793	17.893	sharingrating1	600.776	3	40	F	4
603.709	1.84	fixations	n/a	n/a	n/a	n/a	n/a
605.659	17.89	sharingrating1	623.642	3	130	F	2
626.575	1.565	fixations	n/a	n/a	n/a	n/a	n/a
628.241	17.899	sharingrating1	646.224	3	23	R	3
649.257	1.175	fixations	n/a	n/a	n/a	n/a	n/a
650.541	17.891	sharingrating1	668.54	3	42	F	5
671.573	2.016	fixations	n/a	n/a	n/a	n/a	n/a
673.707	17.882	sharingrating1	691.69	3	129	F	5
694.723	2.181	fixations	n/a	n/a	n/a	n/a	n/a
697.006	17.898	sharingrating1	715.005	3	50	F	6
718.039	2.239	fixations	n/a	n/a	n/a	n/a	n/a
720.389	17.889	sharingrating1	738.388	3	19	R	5
741.421	1.064	fixations	n/a	n/a	n/a	n/a	n/a
742.588	17.897	sharingrating1	760.587	3	93	R	3
763.621	2.005	fixations	n/a	n/a	n/a	n/a	n/a
765.72	17.906	sharingrating1	783.72	3	120	R	4
786.753	2.748	fixations	n/a	n/a	n/a	n/a	n/a
789.603	17.898	sharingrating1	807.603	3	37	F	2
810.536	2.605	fixations	n/a	n/a	n/a	n/a	n/a
813.236	17.905	sharingrating1	831.235	3	71	F	5
834.268	2.18	fixations	n/a	n/a	n/a	n/a	n/a
836.552	17.896	sharingrating1	854.551	3	43	F	5
