onset	duration	trial_type	onset_response	response_time	news_no	news_type	value
0.031	4.968	intro&rest	n/a	n/a	n/a	n/a	n/a
5.081	17.918	fakerating	23.097	3	53	F	1
26.13	1.559	fixations	n/a	n/a	n/a	n/a	n/a
27.78	17.909	fakerating	45.78	3	75	F	1
48.813	2.287	fixations	n/a	n/a	n/a	n/a	n/a
51.196	17.904	fakerating	69.196	3	33	F	1
72.229	2.46	fixations	n/a	n/a	n/a	n/a	n/a
74.779	17.91	fakerating	92.778	3	36	F	1
95.812	1.686	fixations	n/a	n/a	n/a	n/a	n/a
97.579	17.919	fakerating	115.594	3	89	F	1
118.627	2.484	fixations	n/a	n/a	n/a	n/a	n/a
121.194	17.917	fakerating	139.194	3	63	F	1
142.227	2.059	fixations	n/a	n/a	n/a	n/a	n/a
144.377	17.909	fakerating	162.376	3	77	F	1
165.409	1.431	fixations	n/a	n/a	n/a	n/a	n/a
166.926	17.914	fakerating	184.942	3	62	F	1
187.975	2.144	fixations	n/a	n/a	n/a	n/a	n/a
190.209	17.91	fakerating	208.208	3	90	F	1
211.241	1.624	fixations	n/a	n/a	n/a	n/a	n/a
212.958	17.907	fakerating	230.957	3	76	F	1
233.991	1.874	fixations	n/a	n/a	n/a	n/a	n/a
235.907	4.958	intro&rest	n/a	n/a	n/a	n/a	n/a
240.957	17.908	realrating	258.957	3	121	R	3
261.99	2.567	fixations	n/a	n/a	n/a	n/a	n/a
264.656	17.901	realrating	282.656	3	114	R	2
285.689	1.678	fixations	n/a	n/a	n/a	n/a	n/a
287.456	17.911	realrating	305.472	3	118	R	3
308.505	2.7	fixations	n/a	n/a	n/a	n/a	n/a
311.305	17.9	realrating	329.304	3	113	R	2
332.338	1.727	fixations	n/a	n/a	n/a	n/a	n/a
334.154	17.911	realrating	352.17	3	115	R	3
355.204	1.444	fixations	n/a	n/a	n/a	n/a	n/a
356.754	17.894	realrating	374.753	3	119	R	2
377.786	2.087	fixations	n/a	n/a	n/a	n/a	n/a
379.97	17.903	realrating	397.969	3	134	R	3
401.002	1.885	fixations	n/a	n/a	n/a	n/a	n/a
402.986	17.907	realrating	421.002	3	112	R	2
424.035	1.474	fixations	n/a	n/a	n/a	n/a	n/a
425.601	17.908	realrating	443.618	3	116	R	3
446.534	2.147	fixations	n/a	n/a	n/a	n/a	n/a
448.767	17.914	realrating	466.784	3	102	R	3
469.817	2.008	fixations	n/a	n/a	n/a	n/a	n/a
471.867	4.958	intro&rest	n/a	n/a	n/a	n/a	n/a
476.917	17.908	realrating	494.916	3	104	R	3
497.949	2.545	fixations	n/a	n/a	n/a	n/a	n/a
500.599	17.895	realrating	518.599	3	100	R	2
521.632	2.159	fixations	n/a	n/a	n/a	n/a	n/a
523.899	17.892	realrating	541.882	3	24	R	3
544.914	2.05	fixations	n/a	n/a	n/a	n/a	n/a
547.064	17.9	realrating	565.064	3	105	R	3
568.097	1.423	fixations	n/a	n/a	n/a	n/a	n/a
569.614	17.906	realrating	587.63	3	94	R	2
590.663	1.759	fixations	n/a	n/a	n/a	n/a	n/a
592.513	17.909	realrating	610.512	3	107	R	2
613.546	2.033	fixations	n/a	n/a	n/a	n/a	n/a
615.679	17.9	realrating	633.678	3	28	R	3
636.712	1.398	fixations	n/a	n/a	n/a	n/a	n/a
638.212	17.898	realrating	656.211	3	27	R	3
659.244	1.312	fixations	n/a	n/a	n/a	n/a	n/a
660.661	17.895	realrating	678.66	3	103	R	2
681.694	1.313	fixations	n/a	n/a	n/a	n/a	n/a
683.11	17.897	realrating	701.11	3	108	R	3
704.143	2.17	fixations	n/a	n/a	n/a	n/a	n/a
706.343	4.97	intro&rest	n/a	n/a	n/a	n/a	n/a
711.409	17.904	fakerating	729.409	3	85	F	1
732.442	2.461	fixations	n/a	n/a	n/a	n/a	n/a
734.992	17.911	fakerating	753.008	3	128	F	1
756.041	1.63	fixations	n/a	n/a	n/a	n/a	n/a
757.775	17.896	fakerating	775.774	3	127	F	1
778.807	2.505	fixations	n/a	n/a	n/a	n/a	n/a
781.407	17.905	fakerating	799.407	3	131	F	1
802.44	2.274	fixations	n/a	n/a	n/a	n/a	n/a
804.807	17.907	fakerating	822.806	3	72	F	1
825.839	1.897	fixations	n/a	n/a	n/a	n/a	n/a
827.839	17.897	fakerating	845.839	3	57	F	1
848.872	2.573	fixations	n/a	n/a	n/a	n/a	n/a
851.538	17.907	fakerating	869.538	3	61	F	1
872.571	2.152	fixations	n/a	n/a	n/a	n/a	n/a
874.804	17.915	fakerating	892.82	3	91	F	1
895.854	2.144	fixations	n/a	n/a	n/a	n/a	n/a
898.087	17.911	fakerating	916.086	3	58	F	1
919.12	1.945	fixations	n/a	n/a	n/a	n/a	n/a
921.153	17.912	fakerating	939.169	3	74	F	2
942.102	1.911	fixations	n/a	n/a	n/a	n/a	n/a
944.052	1.961	intro&rest	n/a	n/a	n/a	n/a	n/a
