onset	duration	trial_type	onset_response	response_time	news_no	news_type	value
0.048	4.951	intro&rest	n/a	n/a	n/a	n/a	n/a
5.098	17.901	sharingrating1	23.097	3	110	R	3
26.131	1.513	fixations	n/a	n/a	n/a	n/a	n/a
27.731	17.913	sharingrating1	45.73	3	122	F	5
48.763	1.752	fixations	n/a	n/a	n/a	n/a	n/a
50.613	17.902	sharingrating1	68.613	3	120	R	5
71.646	2.748	fixations	n/a	n/a	n/a	n/a	n/a
74.496	17.898	sharingrating1	92.495	3	17	R	2
95.529	1.417	fixations	n/a	n/a	n/a	n/a	n/a
97.045	17.901	sharingrating1	115.045	3	51	F	2
118.078	2.053	fixations	n/a	n/a	n/a	n/a	n/a
120.228	17.903	sharingrating1	138.244	3	22	R	4
141.277	1.419	fixations	n/a	n/a	n/a	n/a	n/a
142.794	17.902	sharingrating1	160.793	3	29	R	5
163.826	2.099	fixations	n/a	n/a	n/a	n/a	n/a
166.027	17.898	sharingrating1	184.026	3	21	R	3
187.059	2.5	fixations	n/a	n/a	n/a	n/a	n/a
189.659	17.9	sharingrating1	207.658	3	93	R	5
210.692	2.005	fixations	n/a	n/a	n/a	n/a	n/a
212.792	17.905	sharingrating1	230.791	3	11	R	5
233.824	2.049	fixations	n/a	n/a	n/a	n/a	n/a
235.991	17.882	sharingrating1	253.974	3	50	F	2
257.007	2.24	fixations	n/a	n/a	n/a	n/a	n/a
259.34	17.907	sharingrating1	277.356	3	35	F	3
280.39	2.358	fixations	n/a	n/a	n/a	n/a	n/a
282.856	17.892	sharingrating1	300.856	3	129	F	6
303.889	2.181	fixations	n/a	n/a	n/a	n/a	n/a
306.156	17.914	sharingrating1	324.172	3	71	F	3
327.205	2.18	fixations	n/a	n/a	n/a	n/a	n/a
329.488	17.897	sharingrating1	347.471	3	37	F	3
350.504	2.606	fixations	n/a	n/a	n/a	n/a	n/a
353.204	17.906	sharingrating1	371.203	3	19	R	2
374.137	1.071	fixations	n/a	n/a	n/a	n/a	n/a
375.303	17.905	sharingrating1	393.303	3	7	R	3
396.336	2.766	fixations	n/a	n/a	n/a	n/a	n/a
399.186	17.916	sharingrating1	417.185	3	23	R	2
420.135	1.176	fixations	n/a	n/a	n/a	n/a	n/a
421.402	17.909	sharingrating1	439.418	3	97	R	5
442.451	2.086	fixations	n/a	n/a	n/a	n/a	n/a
444.635	17.902	sharingrating1	462.634	3	98	R	4
465.567	2.966	fixations	n/a	n/a	n/a	n/a	n/a
468.634	17.899	sharingrating1	486.633	3	109	R	3
489.667	2.721	fixations	n/a	n/a	n/a	n/a	n/a
492.5	17.888	sharingrating1	510.499	3	8	R	4
513.532	1.886	fixations	n/a	n/a	n/a	n/a	n/a
515.499	17.919	sharingrating1	533.515	3	87	F	5
536.548	2.396	fixations	n/a	n/a	n/a	n/a	n/a
539.032	17.912	sharingrating1	557.048	3	83	F	5
560.081	1.42	fixations	n/a	n/a	n/a	n/a	n/a
561.598	17.903	sharingrating1	579.597	3	133	F	5
582.53	1.439	fixations	n/a	n/a	n/a	n/a	n/a
584.064	17.905	sharingrating1	602.063	3	67	F	4
605.096	1.764	fixations	n/a	n/a	n/a	n/a	n/a
606.963	17.897	sharingrating1	624.962	3	111	R	6
627.896	1.467	fixations	n/a	n/a	n/a	n/a	n/a
629.462	17.901	sharingrating1	647.462	3	132	F	5
650.495	2.251	fixations	n/a	n/a	n/a	n/a	n/a
652.845	17.901	sharingrating1	670.844	3	43	F	2
673.777	1.531	fixations	n/a	n/a	n/a	n/a	n/a
675.411	17.897	sharingrating1	693.41	3	78	F	4
696.444	2.24	fixations	n/a	n/a	n/a	n/a	n/a
698.777	17.907	sharingrating1	716.776	3	123	F	4
719.809	1.399	fixations	n/a	n/a	n/a	n/a	n/a
721.309	17.899	sharingrating1	739.309	3	2	R	3
742.342	2.907	fixations	n/a	n/a	n/a	n/a	n/a
745.342	17.907	sharingrating1	763.341	3	130	F	3
766.275	1.565	fixations	n/a	n/a	n/a	n/a	n/a
767.941	17.899	sharingrating1	785.941	3	13	R	3
788.974	1.405	fixations	n/a	n/a	n/a	n/a	n/a
790.474	17.905	sharingrating1	808.473	3	42	F	3
811.407	2.022	fixations	n/a	n/a	n/a	n/a	n/a
813.523	17.906	sharingrating1	831.523	3	117	R	4
834.556	1.838	fixations	n/a	n/a	n/a	n/a	n/a
836.489	17.905	sharingrating1	854.505	3	18	R	2
857.538	1.87	fixations	n/a	n/a	n/a	n/a	n/a
859.488	17.92	sharingrating1	877.504	3	40	F	2
880.538	1.828	fixations	n/a	n/a	n/a	n/a	n/a
882.471	17.895	sharingrating1	900.471	3	68	F	2
903.504	1.472	fixations	n/a	n/a	n/a	n/a	n/a
905.087	17.89	sharingrating1	923.086	3	49	F	2
926.12	2.058	fixations	n/a	n/a	n/a	n/a	n/a
928.22	2.958	intro&rest	n/a	n/a	n/a	n/a	n/a
931.203	4.975	intro&rest	n/a	n/a	n/a	n/a	n/a
936.303	17.875	accuracyrating	954.269	3	31	F	2
957.202	2.33	fixations	n/a	n/a	n/a	n/a	n/a
959.635	17.897	accuracyrating	977.635	3	64	F	2
980.668	1.525	fixations	n/a	n/a	n/a	n/a	n/a
982.301	17.892	accuracyrating	1000.301	3	106	R	1
1003.217	2.128	fixations	n/a	n/a	n/a	n/a	n/a
1005.451	17.894	accuracyrating	1023.45	3	96	R	2
1026.367	1.307	fixations	n/a	n/a	n/a	n/a	n/a
1027.783	17.891	accuracyrating	1045.783	3	70	F	2
1048.816	2.392	fixations	n/a	n/a	n/a	n/a	n/a
1051.316	17.892	accuracyrating	1069.315	3	12	R	4
1072.232	1.663	fixations	n/a	n/a	n/a	n/a	n/a
1073.982	17.913	accuracyrating	1091.998	3	26	R	3
1095.031	2.188	fixations	n/a	n/a	n/a	n/a	n/a
1097.331	17.888	accuracyrating	1115.314	3	15	R	2
1118.347	2.409	fixations	n/a	n/a	n/a	n/a	n/a
1120.864	17.892	accuracyrating	1138.846	3	47	F	3
1141.88	2.498	fixations	n/a	n/a	n/a	n/a	n/a
1144.496	17.882	accuracyrating	1162.479	3	4	R	3
1165.512	2.657	fixations	n/a	n/a	n/a	n/a	n/a
1168.262	17.907	accuracyrating	1186.262	3	81	F	4
1189.295	1.427	fixations	n/a	n/a	n/a	n/a	n/a
1190.828	17.894	accuracyrating	1208.828	3	55	F	3
1211.861	1.764	fixations	n/a	n/a	n/a	n/a	n/a
1213.727	17.898	accuracyrating	1231.727	3	1	R	3
1234.76	1.619	fixations	n/a	n/a	n/a	n/a	n/a
1236.477	17.902	accuracyrating	1254.476	3	9	R	3
1257.51	1.953	fixations	n/a	n/a	n/a	n/a	n/a
1259.576	17.887	accuracyrating	1277.575	3	32	F	2
1280.492	1.763	fixations	n/a	n/a	n/a	n/a	n/a
1282.359	17.896	accuracyrating	1300.358	3	25	R	3
1303.392	2.332	fixations	n/a	n/a	n/a	n/a	n/a
1305.825	17.899	accuracyrating	1323.824	3	79	F	2
1326.757	2.25	fixations	n/a	n/a	n/a	n/a	n/a
1329.107	17.9	accuracyrating	1347.107	3	86	F	4
1350.14	1.788	fixations	n/a	n/a	n/a	n/a	n/a
1352.023	17.905	accuracyrating	1370.039	3	95	R	2
1373.073	1.373	fixations	n/a	n/a	n/a	n/a	n/a
1374.556	17.89	accuracyrating	1392.539	3	38	F	2
1395.572	1.998	fixations	n/a	n/a	n/a	n/a	n/a
1397.605	2.965	intro&rest	n/a	n/a	n/a	n/a	n/a
1400.605	4.965	intro&rest	n/a	n/a	n/a	n/a	n/a
1405.672	17.898	sharingrating2	1423.671	3	99	R	2
1426.704	2.397	fixations	n/a	n/a	n/a	n/a	n/a
1429.204	17.897	sharingrating2	1447.204	3	16	R	4
1450.237	2.315	fixations	n/a	n/a	n/a	n/a	n/a
1452.653	17.899	sharingrating2	1470.653	3	44	F	2
1473.686	1.616	fixations	n/a	n/a	n/a	n/a	n/a
1475.403	17.899	sharingrating2	1493.402	3	34	F	2
