onset	duration	trial_type	onset_response	response_time	news_no	news_real/fake	value
0.038	4.961	intro&rest	n/a	n/a	n/a	n/a	n/a
5.105	17.894	realrating	23.104	3	28	R	5
26.138	1.398	fixations	n/a	n/a	n/a	n/a	n/a
27.621	17.915	realrating	45.637	3	104	R	1
48.67	2.545	fixations	n/a	n/a	n/a	n/a	n/a
51.32	17.895	realrating	69.32	3	103	R	1
72.353	1.314	fixations	n/a	n/a	n/a	n/a	n/a
73.77	17.897	realrating	91.769	3	107	R	1
94.702	2.033	fixations	n/a	n/a	n/a	n/a	n/a
96.835	17.9	realrating	114.835	3	94	R	1
117.868	1.759	fixations	n/a	n/a	n/a	n/a	n/a
119.718	17.909	realrating	137.734	3	24	R	1
140.651	2.059	fixations	n/a	n/a	n/a	n/a	n/a
142.817	17.893	realrating	160.817	3	100	R	4
163.85	2.159	fixations	n/a	n/a	n/a	n/a	n/a
166.117	17.892	realrating	184.116	3	105	R	1
187.149	1.423	fixations	n/a	n/a	n/a	n/a	n/a
188.666	17.906	realrating	206.666	3	108	R	2
209.699	2.17	fixations	n/a	n/a	n/a	n/a	n/a
211.965	17.904	realrating	229.965	3	27	R	4
232.998	1.312	fixations	n/a	n/a	n/a	n/a	n/a
234.348	4.962	intro&rest	n/a	n/a	n/a	n/a	n/a
239.398	17.912	fakerating	257.414	3	72	F	2
260.447	1.897	fixations	n/a	n/a	n/a	n/a	n/a
262.447	17.897	fakerating	280.446	3	57	F	1
283.48	2.573	fixations	n/a	n/a	n/a	n/a	n/a
286.146	17.907	fakerating	304.146	3	91	F	3
307.179	2.144	fixations	n/a	n/a	n/a	n/a	n/a
309.412	17.911	fakerating	327.412	3	58	F	2
330.445	1.945	fixations	n/a	n/a	n/a	n/a	n/a
332.495	17.895	fakerating	350.494	3	128	F	2
353.527	1.63	fixations	n/a	n/a	n/a	n/a	n/a
355.261	17.896	fakerating	373.26	3	127	F	2
376.293	2.505	fixations	n/a	n/a	n/a	n/a	n/a
378.893	17.905	fakerating	396.893	3	61	F	4
399.926	2.146	fixations	n/a	n/a	n/a	n/a	n/a
402.176	17.896	fakerating	420.175	3	131	F	2
423.209	2.274	fixations	n/a	n/a	n/a	n/a	n/a
425.592	17.891	fakerating	443.591	3	85	F	3
446.625	2.461	fixations	n/a	n/a	n/a	n/a	n/a
449.191	17.895	fakerating	467.191	3	74	F	4
470.224	1.911	fixations	n/a	n/a	n/a	n/a	n/a
472.174	4.961	intro&rest	n/a	n/a	n/a	n/a	n/a
477.224	17.911	fakerating	495.24	3	53	F	1
498.273	1.559	fixations	n/a	n/a	n/a	n/a	n/a
499.923	17.909	fakerating	517.922	3	89	F	2
520.956	2.483	fixations	n/a	n/a	n/a	n/a	n/a
523.522	17.917	fakerating	541.522	3	63	F	4
544.472	2.06	fixations	n/a	n/a	n/a	n/a	n/a
546.638	17.894	fakerating	564.638	3	33	F	3
567.671	2.46	fixations	n/a	n/a	n/a	n/a	n/a
570.221	17.91	fakerating	588.237	3	62	F	4
591.27	2.144	fixations	n/a	n/a	n/a	n/a	n/a
593.504	17.91	fakerating	611.503	3	36	F	4
614.536	1.687	fixations	n/a	n/a	n/a	n/a	n/a
616.319	17.904	fakerating	634.319	3	90	F	2
637.352	1.624	fixations	n/a	n/a	n/a	n/a	n/a
639.069	17.907	fakerating	657.068	3	76	F	1
660.101	1.875	fixations	n/a	n/a	n/a	n/a	n/a
662.068	17.908	fakerating	680.067	3	75	F	1
683.101	2.286	fixations	n/a	n/a	n/a	n/a	n/a
685.484	17.903	fakerating	703.483	3	77	F	1
706.517	1.43	fixations	n/a	n/a	n/a	n/a	n/a
707.983	4.964	intro&rest	n/a	n/a	n/a	n/a	n/a
713.05	17.897	realrating	731.049	3	116	R	2
734.083	2.137	fixations	n/a	n/a	n/a	n/a	n/a
736.332	17.888	realrating	754.315	3	121	R	4
757.348	2.567	fixations	n/a	n/a	n/a	n/a	n/a
760.032	17.883	realrating	778.014	3	112	R	6
781.048	1.473	fixations	n/a	n/a	n/a	n/a	n/a
782.631	17.89	realrating	800.614	3	102	R	1
803.647	2.008	fixations	n/a	n/a	n/a	n/a	n/a
805.764	17.891	realrating	823.747	3	119	R	5
826.78	2.087	fixations	n/a	n/a	n/a	n/a	n/a
828.98	17.887	realrating	846.963	3	118	R	1
849.996	2.7	fixations	n/a	n/a	n/a	n/a	n/a
852.795	17.901	realrating	870.795	3	115	R	1
873.828	1.445	fixations	n/a	n/a	n/a	n/a	n/a
875.378	17.895	realrating	893.378	3	134	R	5
896.411	1.885	fixations	n/a	n/a	n/a	n/a	n/a
898.411	17.885	realrating	916.394	3	113	R	5
919.427	1.728	fixations	n/a	n/a	n/a	n/a	n/a
921.26	17.895	realrating	939.259	3	114	R	2
942.293	1.677	fixations	n/a	n/a	n/a	n/a	n/a
944.009	1.961	intro&rest	n/a	n/a	n/a	n/a	n/a
