onset	duration	trial_type	onset_response	response_time	news_no	news_real/fake	value
5.104	17.895	fakerating	23.103	3	53	F	2
27.703	17.889	fakerating	48.019	3	33	F	2
51.286	17.893	fakerating	70.568	3	62	F	3
74.568	17.894	fakerating	93.968	3	63	F	1
97.751	17.892	fakerating	117.3	3	36	F	1
120.55	17.904	fakerating	140.183	3	75	F	1
143.966	17.904	fakerating	162.782	3	76	F	3
166.966	17.908	fakerating	186.465	3	77	F	3
189.532	17.897	fakerating	210.498	3	89	F	3
213.148	17.9	fakerating	231.964	3	90	F	1
240.897	17.907	realrating	261.746	3	102	R	3
264.046	17.891	realrating	282.529	3	112	R	1
286.662	17.891	realrating	305.312	3	121	R	4
310.345	17.9	realrating	328.828	3	116	R	1
333.611	17.904	realrating	352.694	3	134	R	3
356.643	17.902	realrating	375.843	3	114	R	5
379.459	17.895	realrating	398.326	3	118	R	5
403.292	17.9	realrating	423.758	3	113	R	5
426.158	17.895	realrating	445.757	3	115	R	2
448.741	17.895	realrating	466.74	3	119	R	4
476.857	17.9	realrating	497.339	3	107	R	3
500.023	17.9	realrating	518.839	3	100	R	4
523.322	17.909	realrating	543.505	3	108	R	2
546.621	17.903	realrating	565.804	3	27	R	1
569.071	17.895	realrating	587.07	3	24	R	4
592.153	17.896	realrating	611.069	3	103	R	5
614.603	17.897	realrating	633.435	3	105	R	1
637.152	17.906	realrating	656.668	3	28	R	4
659.685	17.899	realrating	678.651	3	94	R	5
682.567	17.909	realrating	700.567	3	104	R	4
711.167	17.888	fakerating	729.166	3	127	F	2
734.682	17.905	fakerating	754.349	3	128	F	1
757.448	17.897	fakerating	777.765	3	131	F	2
780.864	17.891	fakerating	800.514	3	57	F	1
804.564	17.906	fakerating	823.863	3	58	F	1
827.646	17.896	fakerating	847.162	3	61	F	2
850.929	17.896	fakerating	870.512	3	72	F	2
873.962	17.897	fakerating	894.661	3	74	F	3
897.011	17.894	fakerating	915.661	3	85	F	3
920.594	17.911	fakerating	939.577	3	91	F	3
26.037	1.556	fixations	n/a	n/a	n/a	n/a	n/a
48.719	2.46	fixations	n/a	n/a	n/a	n/a	n/a
72.318	2.144	fixations	n/a	n/a	n/a	n/a	n/a
95.584	2.059	fixations	n/a	n/a	n/a	n/a	n/a
118.767	1.687	fixations	n/a	n/a	n/a	n/a	n/a
141.583	2.287	fixations	n/a	n/a	n/a	n/a	n/a
164.999	1.875	fixations	n/a	n/a	n/a	n/a	n/a
187.998	1.431	fixations	n/a	n/a	n/a	n/a	n/a
210.564	2.484	fixations	n/a	n/a	n/a	n/a	n/a
234.18	1.624	fixations	n/a	n/a	n/a	n/a	n/a
279.653	2.042	fixations	n/a	n/a	n/a	n/a	n/a
300.42	1.508	fixations	n/a	n/a	n/a	n/a	n/a
323.203	2.601	fixations	n/a	n/a	n/a	n/a	n/a
346.728	2.172	fixations	n/a	n/a	n/a	n/a	n/a
370.598	1.919	fixations	n/a	n/a	n/a	n/a	n/a
393.745	1.712	fixations	n/a	n/a	n/a	n/a	n/a
416.221	2.734	fixations	n/a	n/a	n/a	n/a	n/a
441.658	1.762	fixations	n/a	n/a	n/a	n/a	n/a
463.652	1.479	fixations	n/a	n/a	n/a	n/a	n/a
484.635	2.121	fixations	n/a	n/a	n/a	n/a	n/a
497.889	2.034	fixations	n/a	n/a	n/a	n/a	n/a
521.072	2.159	fixations	n/a	n/a	n/a	n/a	n/a
544.355	2.169	fixations	n/a	n/a	n/a	n/a	n/a
567.654	1.312	fixations	n/a	n/a	n/a	n/a	n/a
590.003	2.046	fixations	n/a	n/a	n/a	n/a	n/a
613.186	1.314	fixations	n/a	n/a	n/a	n/a	n/a
635.635	1.423	fixations	n/a	n/a	n/a	n/a	n/a
658.185	1.399	fixations	n/a	n/a	n/a	n/a	n/a
680.717	1.759	fixations	n/a	n/a	n/a	n/a	n/a
703.517	2.538	fixations	n/a	n/a	n/a	n/a	n/a
732.082	2.505	fixations	n/a	n/a	n/a	n/a	n/a
755.715	1.63	fixations	n/a	n/a	n/a	n/a	n/a
778.481	2.274	fixations	n/a	n/a	n/a	n/a	n/a
801.897	2.573	fixations	n/a	n/a	n/a	n/a	n/a
825.597	1.945	fixations	n/a	n/a	n/a	n/a	n/a
848.679	2.146	fixations	n/a	n/a	n/a	n/a	n/a
871.962	1.897	fixations	n/a	n/a	n/a	n/a	n/a
894.994	1.911	fixations	n/a	n/a	n/a	n/a	n/a
918.044	2.461	fixations	n/a	n/a	n/a	n/a	n/a
941.626	2.144	fixations	n/a	n/a	n/a	n/a	n/a
0.037	4.962	intro&rest	n/a	n/a	n/a	n/a	n/a
235.847	4.957	intro&rest	n/a	n/a	n/a	n/a	n/a
471.79	4.967	intro&rest	n/a	n/a	n/a	n/a	n/a
706.083	4.972	intro&rest	n/a	n/a	n/a	n/a	n/a
943.81	2.96	intro&rest	n/a	n/a	n/a	n/a	n/a
