trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0261874	0.03173
0.0018	0.0759	0.0065	-7.330382858376184e-05	-0.00015533430342749534	-5.235987755982989e-05	1.13077664	31.51142693	1.08356024	0.09824990047855436	0.0262541	0.02977
0.0025	0.0193	0.0134	-0.00017976891295541595	-8.028514559173915e-05	-7.330382858376184e-05	1.13483167	31.6244278	1.06428124	0.0743229096615671	0.0265455	0.02958
-0.0011	-0.0254	0.0388	-0.00011693705988362007	-1.2217304763960308e-05	-5.4105206811824215e-05	1.10822701	30.88303566	1.05356914	0.08120491578357561	0.0276535	0.0323
0.0014	0.04	0.0452	-0.0002181661564992912	-0.00011344640137963142	-8.37758040957278e-05	1.09659004	30.55874634	1.06190313	0.08590643952576232	0.027418	0.0314
0.0057	0.0662	0.0215	-0.0003106686068549907	-0.0001675516081914556	1.5707963267948964e-05	1.13030946	31.49840736	1.06004863	0.06650457122656002	0.0266175	0.02926
0.0018	-0.0131	0.0164	-0.00022689280275926284	-0.0001884955592153876	-5.93411945678072e-05	1.15702724	32.24295425	1.08580008	0.0972884456477708	0.026754	0.03054
-0.0006	-0.0149	0.0263	-0.0001239183768915974	-9.773843811168246e-05	-1.7453292519943294e-06	1.07455385	29.94466209	1.03147365	0.02666637061435917	0.0269446	0.03073
0.0001	0.0542	0.0444	-0.00035081117965086024	-0.0002652900463031381	-0.00014660765716752367	1.11924648	31.19011497	1.07067162	0.11486533694331238	0.0276757	0.03195
0.0001	0.0394	0.0238	-0.00030194196059501896	-0.0003001966313430247	-0.00022863813201125715	1.10317767	30.74232483	1.05032782	0.04369031394697307	0.0268452	0.02938
-0.0012	-0.0358	0.0305	-0.00018151424220741024	-0.00023561944901923448	-0.00023911010752322313	1.15000331	32.04721832	1.08027145	0.09297384381116824	0.0269629	0.03029
0.0003	-0.0023	0.0402	1.7453292519943294e-06	-0.0001884955592153876	-0.00017453292519943296	1.05737543	29.46595001	1.01983744	0.05944803217935209	0.0267491	0.02939
0.0049	0.061	0.0228	-0.00010471975511965978	-0.000317649923862968	-0.00016406094968746698	1.24207723	34.61304855	1.08183214	0.09760457122656	0.0263953	0.02723
0.0031	0.0013	0.0073	-1.0471975511965975e-05	-0.0002705260340591211	-0.0001937315469713706	1.15525293	32.19350815	1.07225084	0.08555211333477222	0.0256997	0.02615
0.0017	-0.0209	0.0219	-5.061454830783555e-05	-0.00024260076602721178	-0.0001291543646475804	1.11256301	31.0038662	1.03465492	0.04483225115757845	0.0260552	0.02743
-0.0	0.029	0.0259	1.7453292519943294e-06	-0.00017104226669544429	-0.00014486232791552936	1.09524786	30.52134323	1.040927	0.06258131700797731	0.0256423	0.02618
0.0019	0.0727	0.0404	3.4906585039886588e-06	-0.00039269908169872416	-0.00017453292519943296	1.12646127	31.3911705	1.05607778	0.0727536370769589	0.0265635	0.02808
0.0035	0.0092	0.0176	7.504915783575618e-05	-0.0003787364476827695	-0.00014660765716752367	1.19136512	33.19984818	1.07932171	0.09357232006898157	0.0260513	0.02606
0.0013	-0.0347	0.0312	7.67944870877505e-05	-0.0002530727415391778	-7.67944870877505e-05	1.09135294	30.41280365	1.04101719	0.06956111027376798	0.0266824	0.02846
0.0053	0.039	0.0425	4.363323129985824e-05	-0.0002722713633111154	-4.886921905584123e-05	1.12371075	31.31452179	1.0600371	0.09301425727958695	0.0265027	0.02783
0.0155	0.0722	0.0207	-2.6179938779914945e-05	-0.0005061454830783556	2.792526803190927e-05	1.13042855	31.50172806	1.05577116	0.0842240888467382	0.0259611	0.02593
0.0111	-0.0094	0.0236	-0.00013264502315156904	-0.0003769911184307752	-4.0142572795869576e-05	1.15405917	32.16024399	1.09238819	0.10408436449235069	0.0259295	0.02609
0.0082	0.0043	0.0395	-0.00026878070480712676	-0.00029496064358704166	1.7453292519943294e-06	1.06238759	29.60562325	1.02125436	0.04550270292735776	0.0264477	0.02627
