onset	duration	trial_type	onset_response	response_time	news_no	news_real/fake	value
5.096	17.903	realrating	23.095	3	28	R	1
27.628	17.899	realrating	45.628	3	107	R	1
50.811	17.884	realrating	68.794	3	103	R	1
73.243	17.898	realrating	91.243	3	108	R	1
96.543	17.903	realrating	114.559	3	105	R	1
119.126	17.889	realrating	137.108	3	24	R	1
142.292	17.898	realrating	160.291	3	27	R	1
164.741	17.895	realrating	182.74	3	94	R	1
187.623	17.909	realrating	205.623	3	104	R	1
211.306	17.895	realrating	229.305	3	100	R	1
239.588	17.909	fakerating	257.605	3	131	F	1
263.021	17.891	fakerating	281.021	3	57	F	1
286.72	17.907	fakerating	304.72	3	91	F	1
309.986	17.911	fakerating	327.986	3	58	F	1
333.069	17.895	fakerating	351.068	3	128	F	1
355.818	17.914	fakerating	373.834	3	72	F	3
378.868	17.896	fakerating	396.867	3	61	F	1
402.15	17.896	fakerating	420.15	3	85	F	1
425.749	17.895	fakerating	443.749	3	127	F	3
449.382	17.905	fakerating	467.381	3	74	F	2
477.414	17.912	fakerating	495.43	3	90	F	1
500.18	17.907	fakerating	518.18	3	76	F	3
523.18	17.908	fakerating	541.179	3	63	F	3
546.362	17.909	fakerating	564.362	3	53	F	1
569.045	17.909	fakerating	587.044	3	36	F	1
591.861	17.903	fakerating	609.86	3	62	F	3
615.127	17.91	fakerating	633.126	3	75	F	3
638.543	17.904	fakerating	656.542	3	77	F	3
661.109	17.897	fakerating	679.108	3	89	F	1
684.725	17.9	fakerating	702.724	3	33	F	1
713.324	17.893	realrating	731.323	3	116	R	1
736.59	17.904	realrating	754.589	3	112	R	1
759.189	17.907	realrating	777.205	3	118	R	1
783.055	17.883	realrating	801.038	3	121	R	1
806.754	17.884	realrating	824.737	3	113	R	4
829.62	17.878	realrating	847.603	3	134	R	3
852.636	17.885	realrating	870.619	3	102	R	2
875.769	17.891	realrating	893.752	3	115	R	2
898.335	17.895	realrating	916.334	3	114	R	2
921.151	17.894	realrating	939.15	3	119	R	2
26.128	1.399	fixations	n/a	n/a	n/a	n/a	n/a
48.661	2.034	fixations	n/a	n/a	n/a	n/a	n/a
71.827	1.314	fixations	n/a	n/a	n/a	n/a	n/a
94.276	2.17	fixations	n/a	n/a	n/a	n/a	n/a
117.592	1.423	fixations	n/a	n/a	n/a	n/a	n/a
140.141	2.049	fixations	n/a	n/a	n/a	n/a	n/a
163.324	1.312	fixations	n/a	n/a	n/a	n/a	n/a
185.773	1.759	fixations	n/a	n/a	n/a	n/a	n/a
208.656	2.545	fixations	n/a	n/a	n/a	n/a	n/a
232.339	2.158	fixations	n/a	n/a	n/a	n/a	n/a
260.638	2.274	fixations	n/a	n/a	n/a	n/a	n/a
284.054	2.573	fixations	n/a	n/a	n/a	n/a	n/a
307.753	2.144	fixations	n/a	n/a	n/a	n/a	n/a
331.019	1.945	fixations	n/a	n/a	n/a	n/a	n/a
354.102	1.63	fixations	n/a	n/a	n/a	n/a	n/a
376.867	1.898	fixations	n/a	n/a	n/a	n/a	n/a
399.9	2.146	fixations	n/a	n/a	n/a	n/a	n/a
423.183	2.461	fixations	n/a	n/a	n/a	n/a	n/a
446.782	2.505	fixations	n/a	n/a	n/a	n/a	n/a
470.415	1.911	fixations	n/a	n/a	n/a	n/a	n/a
498.464	1.623	fixations	n/a	n/a	n/a	n/a	n/a
521.213	1.875	fixations	n/a	n/a	n/a	n/a	n/a
544.246	2.025	fixations	n/a	n/a	n/a	n/a	n/a
567.395	1.559	fixations	n/a	n/a	n/a	n/a	n/a
590.078	1.686	fixations	n/a	n/a	n/a	n/a	n/a
612.894	2.143	fixations	n/a	n/a	n/a	n/a	n/a
636.16	2.286	fixations	n/a	n/a	n/a	n/a	n/a
659.576	1.43	fixations	n/a	n/a	n/a	n/a	n/a
682.141	2.484	fixations	n/a	n/a	n/a	n/a	n/a
705.757	2.46	fixations	n/a	n/a	n/a	n/a	n/a
734.356	2.138	fixations	n/a	n/a	n/a	n/a	n/a
757.622	1.474	fixations	n/a	n/a	n/a	n/a	n/a
780.238	2.7	fixations	n/a	n/a	n/a	n/a	n/a
804.071	2.567	fixations	n/a	n/a	n/a	n/a	n/a
827.77	1.728	fixations	n/a	n/a	n/a	n/a	n/a
850.636	1.885	fixations	n/a	n/a	n/a	n/a	n/a
873.702	1.958	fixations	n/a	n/a	n/a	n/a	n/a
896.785	1.445	fixations	n/a	n/a	n/a	n/a	n/a
919.368	1.677	fixations	n/a	n/a	n/a	n/a	n/a
942.184	2.086	fixations	n/a	n/a	n/a	n/a	n/a
0.029	4.97	intro&rest	n/a	n/a	n/a	n/a	n/a
234.539	4.958	intro&rest	n/a	n/a	n/a	n/a	n/a
472.365	4.961	intro&rest	n/a	n/a	n/a	n/a	n/a
708.257	4.96	intro&rest	n/a	n/a	n/a	n/a	n/a
944.3	1.97	intro&rest	n/a	n/a	n/a	n/a	n/a
