onset	duration	trial_type	onset_response	response_time	news_no	news_real/fake	value
0.025	4.974	intro&rest	n/a	n/a	n/a	n/a	n/a
5.091	17.908	sharingrating1	23.091	3	49	F	4
26.124	2.059	fixations	n/a	n/a	n/a	n/a	n/a
28.274	17.909	sharingrating1	46.273	3	132	F	5
49.306	2.251	fixations	n/a	n/a	n/a	n/a	n/a
51.656	17.901	sharingrating1	69.656	3	97	R	4
72.589	2.088	fixations	n/a	n/a	n/a	n/a	n/a
74.772	17.905	sharingrating1	92.772	3	122	F	4
95.805	1.752	fixations	n/a	n/a	n/a	n/a	n/a
97.655	17.902	sharingrating1	115.654	3	117	R	3
118.688	1.837	fixations	n/a	n/a	n/a	n/a	n/a
120.621	17.904	sharingrating1	138.62	3	29	R	3
141.554	2.104	fixations	n/a	n/a	n/a	n/a	n/a
143.754	17.904	sharingrating1	161.77	3	129	F	3
164.803	2.181	fixations	n/a	n/a	n/a	n/a	n/a
167.086	17.898	sharingrating1	185.086	3	110	R	4
188.119	1.514	fixations	n/a	n/a	n/a	n/a	n/a
189.736	17.897	sharingrating1	207.735	3	120	R	5
210.768	2.748	fixations	n/a	n/a	n/a	n/a	n/a
213.618	17.898	sharingrating1	231.617	3	42	F	6
234.551	2.015	fixations	n/a	n/a	n/a	n/a	n/a
236.667	17.899	sharingrating1	254.667	3	83	F	2
257.7	1.42	fixations	n/a	n/a	n/a	n/a	n/a
259.217	17.903	sharingrating1	277.216	3	87	F	2
280.249	2.396	fixations	n/a	n/a	n/a	n/a	n/a
282.733	17.912	sharingrating1	300.732	3	67	F	2
303.682	1.761	fixations	n/a	n/a	n/a	n/a	n/a
305.532	17.911	sharingrating1	323.548	3	17	R	3
326.581	1.418	fixations	n/a	n/a	n/a	n/a	n/a
328.098	17.901	sharingrating1	346.097	3	8	R	2
349.131	1.885	fixations	n/a	n/a	n/a	n/a	n/a
351.114	17.902	sharingrating1	369.113	3	43	F	1
372.147	1.527	fixations	n/a	n/a	n/a	n/a	n/a
373.763	17.911	sharingrating1	391.779	3	7	R	2
394.696	2.778	fixations	n/a	n/a	n/a	n/a	n/a
397.613	17.861	sharingrating1	415.579	3	78	F	1
418.612	2.241	fixations	n/a	n/a	n/a	n/a	n/a
420.978	17.875	sharingrating1	438.961	3	98	R	2
441.994	2.962	fixations	n/a	n/a	n/a	n/a	n/a
445.078	17.878	sharingrating1	463.06	3	22	R	3
466.094	1.418	fixations	n/a	n/a	n/a	n/a	n/a
467.61	17.902	sharingrating1	485.61	3	133	F	4
488.643	1.434	fixations	n/a	n/a	n/a	n/a	n/a
490.176	17.901	sharingrating1	508.176	3	2	R	5
511.209	2.907	fixations	n/a	n/a	n/a	n/a	n/a
514.226	17.89	sharingrating1	532.225	3	18	R	2
535.258	1.87	fixations	n/a	n/a	n/a	n/a	n/a
537.225	17.903	sharingrating1	555.224	3	19	R	2
558.258	1.063	fixations	n/a	n/a	n/a	n/a	n/a
559.424	17.897	sharingrating1	577.424	3	21	R	6
580.457	2.5	fixations	n/a	n/a	n/a	n/a	n/a
583.057	17.9	sharingrating1	601.056	3	40	F	6
603.989	1.831	fixations	n/a	n/a	n/a	n/a	n/a
605.923	17.897	sharingrating1	623.922	3	51	F	5
626.955	2.053	fixations	n/a	n/a	n/a	n/a	n/a
629.105	17.903	sharingrating1	647.105	3	71	F	3
650.138	2.18	fixations	n/a	n/a	n/a	n/a	n/a
652.405	17.913	sharingrating1	670.404	3	23	R	2
673.354	1.173	fixations	n/a	n/a	n/a	n/a	n/a
674.621	17.906	sharingrating1	692.62	3	37	F	3
695.653	2.606	fixations	n/a	n/a	n/a	n/a	n/a
698.353	17.906	sharingrating1	716.353	3	93	R	4
719.386	2.006	fixations	n/a	n/a	n/a	n/a	n/a
721.486	17.906	sharingrating1	739.485	3	123	F	2
742.419	1.406	fixations	n/a	n/a	n/a	n/a	n/a
743.919	17.906	sharingrating1	761.918	3	13	R	2
764.951	1.405	fixations	n/a	n/a	n/a	n/a	n/a
766.452	17.904	sharingrating1	784.451	3	35	F	4
787.384	2.365	fixations	n/a	n/a	n/a	n/a	n/a
789.85	17.899	sharingrating1	807.85	3	68	F	3
810.883	1.472	fixations	n/a	n/a	n/a	n/a	n/a
812.45	17.905	sharingrating1	830.449	3	130	F	3
833.483	1.556	fixations	n/a	n/a	n/a	n/a	n/a
835.132	17.907	sharingrating1	853.132	3	109	R	4
856.165	2.722	fixations	n/a	n/a	n/a	n/a	n/a
858.982	17.905	sharingrating1	876.981	3	11	R	4
879.914	2.056	fixations	n/a	n/a	n/a	n/a	n/a
882.081	17.889	sharingrating1	900.064	3	111	R	3
903.097	1.469	fixations	n/a	n/a	n/a	n/a	n/a
904.664	17.902	sharingrating1	922.68	3	50	F	2
925.596	2.244	fixations	n/a	n/a	n/a	n/a	n/a
927.88	2.96	intro&rest	n/a	n/a	n/a	n/a	n/a
930.88	4.96	intro&rest	n/a	n/a	n/a	n/a	n/a
935.946	17.894	accuracyrating	953.945	3	55	F	4
956.979	1.763	fixations	n/a	n/a	n/a	n/a	n/a
958.845	17.897	accuracyrating	976.845	3	81	F	1
979.778	1.425	fixations	n/a	n/a	n/a	n/a	n/a
981.311	17.892	accuracyrating	999.311	3	95	R	3
1002.227	1.384	fixations	n/a	n/a	n/a	n/a	n/a
1003.711	17.9	accuracyrating	1021.71	3	64	F	4
1024.743	1.525	fixations	n/a	n/a	n/a	n/a	n/a
1026.36	17.908	accuracyrating	1044.376	3	86	F	3
1047.409	1.788	fixations	n/a	n/a	n/a	n/a	n/a
1049.292	17.905	accuracyrating	1067.292	3	38	F	5
1070.325	1.998	fixations	n/a	n/a	n/a	n/a	n/a
1072.442	17.881	accuracyrating	1090.425	3	25	R	6
1093.458	2.333	fixations	n/a	n/a	n/a	n/a	n/a
