onset	duration	trial_type	onset_response	response_time	news_no	news_type	value
0.044	4.955	intro&rest	n/a	n/a	n/a	n/a	n/a
5.093	17.906	sharingrating1	23.093	3	13	R	5
26.126	1.405	fixations	n/a	n/a	n/a	n/a	n/a
27.626	17.905	sharingrating1	45.626	3	19	R	6
48.659	1.064	fixations	n/a	n/a	n/a	n/a	n/a
49.825	17.898	sharingrating1	67.825	3	109	R	4
70.758	2.721	fixations	n/a	n/a	n/a	n/a	n/a
73.575	17.904	sharingrating1	91.591	3	129	F	1
94.624	2.181	fixations	n/a	n/a	n/a	n/a	n/a
96.907	17.898	sharingrating1	114.907	3	17	R	4
117.94	1.418	fixations	n/a	n/a	n/a	n/a	n/a
119.44	17.918	sharingrating1	137.439	3	23	R	4
140.473	1.174	fixations	n/a	n/a	n/a	n/a	n/a
141.739	17.908	sharingrating1	159.755	3	97	R	2
162.672	2.095	fixations	n/a	n/a	n/a	n/a	n/a
164.855	17.912	sharingrating1	182.871	3	117	R	1
185.904	1.838	fixations	n/a	n/a	n/a	n/a	n/a
187.838	17.904	sharingrating1	205.837	3	120	R	3
208.871	2.747	fixations	n/a	n/a	n/a	n/a	n/a
211.72	17.898	sharingrating1	229.72	3	11	R	2
232.753	2.049	fixations	n/a	n/a	n/a	n/a	n/a
234.903	17.899	sharingrating1	252.902	3	40	F	3
255.936	1.828	fixations	n/a	n/a	n/a	n/a	n/a
257.869	17.895	sharingrating1	275.868	3	132	F	3
278.902	2.25	fixations	n/a	n/a	n/a	n/a	n/a
281.252	17.9	sharingrating1	299.251	3	122	F	3
302.284	1.752	fixations	n/a	n/a	n/a	n/a	n/a
304.151	17.885	sharingrating1	322.134	3	98	R	2
325.167	2.962	fixations	n/a	n/a	n/a	n/a	n/a
328.25	17.879	sharingrating1	346.233	3	22	R	2
349.266	1.419	fixations	n/a	n/a	n/a	n/a	n/a
350.783	17.902	sharingrating1	368.782	3	71	F	4
371.815	2.18	fixations	n/a	n/a	n/a	n/a	n/a
374.099	17.896	sharingrating1	392.098	3	111	R	1
395.131	1.469	fixations	n/a	n/a	n/a	n/a	n/a
396.698	17.902	sharingrating1	414.697	3	133	F	1
417.731	1.433	fixations	n/a	n/a	n/a	n/a	n/a
419.264	17.9	sharingrating1	437.263	3	68	F	4
440.297	1.471	fixations	n/a	n/a	n/a	n/a	n/a
441.88	17.888	sharingrating1	459.863	3	49	F	2
462.896	2.059	fixations	n/a	n/a	n/a	n/a	n/a
465.063	17.892	sharingrating1	483.062	3	2	R	2
486.095	2.907	fixations	n/a	n/a	n/a	n/a	n/a
489.112	17.89	sharingrating1	507.095	3	29	R	2
510.028	2.107	fixations	n/a	n/a	n/a	n/a	n/a
512.244	17.891	sharingrating1	530.227	3	21	R	4
533.261	2.499	fixations	n/a	n/a	n/a	n/a	n/a
535.86	17.9	sharingrating1	553.86	3	37	F	4
556.893	2.606	fixations	n/a	n/a	n/a	n/a	n/a
559.593	17.906	sharingrating1	577.593	3	130	F	5
580.626	1.557	fixations	n/a	n/a	n/a	n/a	n/a
582.276	17.907	sharingrating1	600.275	3	93	R	5
603.208	2.015	fixations	n/a	n/a	n/a	n/a	n/a
605.325	17.898	sharingrating1	623.324	3	7	R	5
626.358	2.765	fixations	n/a	n/a	n/a	n/a	n/a
629.225	17.898	sharingrating1	647.224	3	35	F	5
650.257	2.359	fixations	n/a	n/a	n/a	n/a	n/a
652.707	17.909	sharingrating1	670.706	3	67	F	3
673.74	1.763	fixations	n/a	n/a	n/a	n/a	n/a
675.606	17.897	sharingrating1	693.606	3	8	R	1
696.639	1.886	fixations	n/a	n/a	n/a	n/a	n/a
698.639	17.886	sharingrating1	716.638	3	18	R	3
719.671	1.87	fixations	n/a	n/a	n/a	n/a	n/a
721.638	17.903	sharingrating1	739.637	3	83	F	3
742.671	1.419	fixations	n/a	n/a	n/a	n/a	n/a
744.187	17.903	sharingrating1	762.187	3	43	F	1
765.22	1.529	fixations	n/a	n/a	n/a	n/a	n/a
766.853	17.895	sharingrating1	784.853	3	110	R	2
787.786	1.51	fixations	n/a	n/a	n/a	n/a	n/a
789.403	17.893	sharingrating1	807.402	3	78	F	1
810.435	2.241	fixations	n/a	n/a	n/a	n/a	n/a
812.785	17.891	sharingrating1	830.785	3	50	F	6
833.818	2.24	fixations	n/a	n/a	n/a	n/a	n/a
836.151	17.907	sharingrating1	854.151	3	51	F	3
857.184	2.053	fixations	n/a	n/a	n/a	n/a	n/a
859.334	17.903	sharingrating1	877.333	3	87	F	3
880.366	2.396	fixations	n/a	n/a	n/a	n/a	n/a
882.866	17.896	sharingrating1	900.866	3	123	F	3
903.899	1.399	fixations	n/a	n/a	n/a	n/a	n/a
905.399	17.899	sharingrating1	923.398	3	42	F	5
926.432	2.015	fixations	n/a	n/a	n/a	n/a	n/a
928.482	2.965	intro&rest	n/a	n/a	n/a	n/a	n/a
931.481	4.966	intro&rest	n/a	n/a	n/a	n/a	n/a
936.548	17.899	accuracyrating	954.547	3	25	R	6
957.581	2.332	fixations	n/a	n/a	n/a	n/a	n/a
960.014	17.899	accuracyrating	978.013	3	79	F	4
981.047	2.248	fixations	n/a	n/a	n/a	n/a	n/a
983.397	17.898	accuracyrating	1001.396	3	9	R	4
1004.429	1.954	fixations	n/a	n/a	n/a	n/a	n/a
1006.479	17.904	accuracyrating	1024.479	3	15	R	4
1027.512	2.409	fixations	n/a	n/a	n/a	n/a	n/a
1030.028	17.893	accuracyrating	1048.028	3	4	R	5
1051.061	2.657	fixations	n/a	n/a	n/a	n/a	n/a
1053.811	17.907	accuracyrating	1071.811	3	1	R	4
1074.844	1.619	fixations	n/a	n/a	n/a	n/a	n/a
1076.56	17.903	accuracyrating	1094.577	3	106	R	4
1097.61	2.118	fixations	n/a	n/a	n/a	n/a	n/a
1099.826	17.902	accuracyrating	1117.826	3	70	F	4
1120.859	2.392	fixations	n/a	n/a	n/a	n/a	n/a
1123.342	17.909	accuracyrating	1141.358	3	47	F	3
1144.392	2.498	fixations	n/a	n/a	n/a	n/a	n/a
1146.991	17.899	accuracyrating	1164.991	3	64	F	6
1167.924	1.525	fixations	n/a	n/a	n/a	n/a	n/a
1169.541	17.908	accuracyrating	1187.54	3	81	F	5
1190.574	1.426	fixations	n/a	n/a	n/a	n/a	n/a
1192.09	17.91	accuracyrating	1210.09	3	96	R	6
1213.023	1.306	fixations	n/a	n/a	n/a	n/a	n/a
1214.423	17.906	accuracyrating	1232.422	3	31	F	1
1235.456	2.319	fixations	n/a	n/a	n/a	n/a	n/a
1237.872	17.903	accuracyrating	1255.871	3	32	F	4
1258.905	1.757	fixations	n/a	n/a	n/a	n/a	n/a
1260.756	17.906	accuracyrating	1278.755	3	12	R	3
1281.787	1.654	fixations	n/a	n/a	n/a	n/a	n/a
1283.537	17.904	accuracyrating	1301.537	3	38	F	1
1304.57	1.998	fixations	n/a	n/a	n/a	n/a	n/a
1306.653	17.915	accuracyrating	1324.669	3	26	R	6
1327.703	2.187	fixations	n/a	n/a	n/a	n/a	n/a
1329.986	17.904	accuracyrating	1347.985	3	86	F	4
1351.019	1.787	fixations	n/a	n/a	n/a	n/a	n/a
