onset	duration	trial_type	onset_response	response_time	news_no	news_type	value
0.044	4.955	intro&rest	n/a	n/a	n/a	n/a	n/a
5.094	17.905	sharingrating1	23.093	3	133	F	3
26.126	1.434	fixations	n/a	n/a	n/a	n/a	n/a
27.643	17.917	sharingrating1	45.659	3	67	F	4
48.592	1.766	fixations	n/a	n/a	n/a	n/a	n/a
50.459	17.899	sharingrating1	68.458	3	132	F	5
71.492	2.25	fixations	n/a	n/a	n/a	n/a	n/a
73.842	17.9	sharingrating1	91.841	3	7	R	2
94.874	2.766	fixations	n/a	n/a	n/a	n/a	n/a
97.741	17.899	sharingrating1	115.74	3	130	F	4
118.674	1.557	fixations	n/a	n/a	n/a	n/a	n/a
120.323	17.908	sharingrating1	138.34	3	93	R	5
141.373	2.006	fixations	n/a	n/a	n/a	n/a	n/a
143.473	17.906	sharingrating1	161.472	3	42	F	5
164.505	2.016	fixations	n/a	n/a	n/a	n/a	n/a
166.606	17.915	sharingrating1	184.605	3	23	R	4
187.638	1.175	fixations	n/a	n/a	n/a	n/a	n/a
188.921	17.892	sharingrating1	206.921	3	111	R	5
209.954	1.469	fixations	n/a	n/a	n/a	n/a	n/a
211.504	17.919	sharingrating1	229.52	3	87	F	5
232.553	2.396	fixations	n/a	n/a	n/a	n/a	n/a
235.037	17.912	sharingrating1	253.037	3	40	F	6
256.069	1.83	fixations	n/a	n/a	n/a	n/a	n/a
257.986	17.913	sharingrating1	276.002	3	117	R	3
278.935	1.836	fixations	n/a	n/a	n/a	n/a	n/a
280.919	17.852	sharingrating1	298.885	3	8	R	4
301.918	1.886	fixations	n/a	n/a	n/a	n/a	n/a
303.918	17.886	sharingrating1	321.901	3	19	R	5
324.934	1.064	fixations	n/a	n/a	n/a	n/a	n/a
326.101	17.897	sharingrating1	344.1	3	83	F	4
347.133	1.42	fixations	n/a	n/a	n/a	n/a	n/a
348.667	17.886	sharingrating1	366.666	3	50	F	6
369.699	2.24	fixations	n/a	n/a	n/a	n/a	n/a
372.049	17.89	sharingrating1	390.032	3	123	F	6
392.965	1.407	fixations	n/a	n/a	n/a	n/a	n/a
394.465	17.907	sharingrating1	412.465	3	43	F	6
415.498	1.528	fixations	n/a	n/a	n/a	n/a	n/a
417.131	17.895	sharingrating1	435.131	3	71	F	6
438.164	2.18	fixations	n/a	n/a	n/a	n/a	n/a
440.447	17.897	sharingrating1	458.447	3	110	R	5
461.48	1.514	fixations	n/a	n/a	n/a	n/a	n/a
463.097	17.897	sharingrating1	481.096	3	35	F	6
484.029	2.358	fixations	n/a	n/a	n/a	n/a	n/a
486.496	17.891	sharingrating1	504.479	3	68	F	4
507.512	1.472	fixations	n/a	n/a	n/a	n/a	n/a
509.095	17.889	sharingrating1	527.095	3	98	R	2
530.128	2.962	fixations	n/a	n/a	n/a	n/a	n/a
533.194	17.896	sharingrating1	551.177	3	120	R	3
554.21	2.748	fixations	n/a	n/a	n/a	n/a	n/a
557.06	17.898	sharingrating1	575.06	3	13	R	5
578.093	1.405	fixations	n/a	n/a	n/a	n/a	n/a
579.593	17.905	sharingrating1	597.592	3	22	R	5
600.526	1.425	fixations	n/a	n/a	n/a	n/a	n/a
602.059	17.892	sharingrating1	620.058	3	97	R	2
622.975	2.096	fixations	n/a	n/a	n/a	n/a	n/a
625.158	17.913	sharingrating1	643.158	3	122	F	4
646.191	1.752	fixations	n/a	n/a	n/a	n/a	n/a
648.041	17.902	sharingrating1	666.041	3	49	F	5
669.074	2.059	fixations	n/a	n/a	n/a	n/a	n/a
671.224	17.909	sharingrating1	689.24	3	17	R	5
692.273	1.418	fixations	n/a	n/a	n/a	n/a	n/a
693.79	17.901	sharingrating1	711.789	3	37	F	5
714.822	2.606	fixations	n/a	n/a	n/a	n/a	n/a
717.522	17.906	sharingrating1	735.522	3	11	R	3
738.555	2.049	fixations	n/a	n/a	n/a	n/a	n/a
740.705	17.899	sharingrating1	758.704	3	18	R	6
761.738	1.869	fixations	n/a	n/a	n/a	n/a	n/a
763.721	17.886	sharingrating1	781.704	3	129	F	3
784.737	2.181	fixations	n/a	n/a	n/a	n/a	n/a
787.02	17.898	sharingrating1	805.02	3	2	R	4
808.053	2.907	fixations	n/a	n/a	n/a	n/a	n/a
811.053	17.907	sharingrating1	829.052	3	51	F	6
832.085	2.053	fixations	n/a	n/a	n/a	n/a	n/a
834.235	17.903	sharingrating1	852.235	3	109	R	4
855.268	2.722	fixations	n/a	n/a	n/a	n/a	n/a
858.101	17.889	sharingrating1	876.084	3	21	R	6
879.117	2.5	fixations	n/a	n/a	n/a	n/a	n/a
881.717	17.9	sharingrating1	899.717	3	78	F	3
902.75	2.241	fixations	n/a	n/a	n/a	n/a	n/a
905.084	17.907	sharingrating1	923.083	3	29	R	4
926.116	2.099	fixations	n/a	n/a	n/a	n/a	n/a
928.249	2.966	intro&rest	n/a	n/a	n/a	n/a	n/a
931.249	4.966	intro&rest	n/a	n/a	n/a	n/a	n/a
936.316	17.899	accuracyrating	954.315	3	25	R	6
957.349	2.332	fixations	n/a	n/a	n/a	n/a	n/a
959.782	17.899	accuracyrating	977.781	3	1	R	4
980.814	1.619	fixations	n/a	n/a	n/a	n/a	n/a
982.531	17.902	accuracyrating	1000.531	3	96	R	5
1003.564	1.295	fixations	n/a	n/a	n/a	n/a	n/a
1004.964	17.895	accuracyrating	1022.963	3	32	F	3
1025.996	1.758	fixations	n/a	n/a	n/a	n/a	n/a
1027.863	17.891	accuracyrating	1045.846	3	79	F	3
1048.779	2.258	fixations	n/a	n/a	n/a	n/a	n/a
1051.129	17.908	accuracyrating	1069.145	3	15	R	4
1072.062	2.418	fixations	n/a	n/a	n/a	n/a	n/a
1074.578	17.902	accuracyrating	1092.578	3	47	F	6
1095.611	2.499	fixations	n/a	n/a	n/a	n/a	n/a
1098.211	17.899	accuracyrating	1116.21	3	64	F	3
1119.244	1.524	fixations	n/a	n/a	n/a	n/a	n/a
1120.86	17.908	accuracyrating	1138.86	3	31	F	5
1141.893	2.32	fixations	n/a	n/a	n/a	n/a	n/a
1144.309	17.904	accuracyrating	1162.309	3	86	F	2
1165.343	1.787	fixations	n/a	n/a	n/a	n/a	n/a
