onset	duration	trial_type	onset_response	response_time	news_no	news_real/fake	value
5.1	17.899	fakerating	23.099	3	76	F	2
28.099	17.908	fakerating	46.099	3	77	F	2
50.665	17.898	fakerating	68.665	3	90	F	1
73.415	17.907	fakerating	91.414	3	33	F	4
97.014	17.893	fakerating	115.014	3	89	F	5
120.63	17.901	fakerating	138.629	3	36	F	1
143.446	17.903	fakerating	161.445	3	53	F	5
166.028	17.914	fakerating	184.028	3	63	F	6
189.128	17.907	fakerating	207.127	3	75	F	2
212.544	17.903	fakerating	230.543	3	62	F	3
240.726	17.899	realrating	258.726	3	112	R	3
263.342	17.891	realrating	281.342	3	134	R	4
286.258	17.894	realrating	304.258	3	114	R	4
309.074	17.895	realrating	327.073	3	119	R	1
332.19	17.9	realrating	350.189	3	121	R	3
355.889	17.9	realrating	373.889	3	102	R	4
379.039	17.891	realrating	397.038	3	113	R	6
401.788	17.904	realrating	419.787	3	115	R	1
424.271	17.9	realrating	442.27	3	118	R	4
448.103	17.9	realrating	466.103	3	116	R	2
476.286	17.892	realrating	494.285	3	105	R	5
498.835	17.906	realrating	516.834	3	108	R	4
522.134	17.903	realrating	540.15	3	94	R	4
544.934	17.896	realrating	562.933	3	27	R	2
567.383	17.895	realrating	585.382	3	28	R	3
589.916	17.898	realrating	607.915	3	24	R	2
613.098	17.899	realrating	631.098	3	104	R	1
636.781	17.895	realrating	654.78	3	107	R	4
659.963	17.884	realrating	677.946	3	100	R	6
683.146	17.894	realrating	701.146	3	103	R	4
710.578	17.915	fakerating	728.578	3	91	F	4
733.845	17.91	fakerating	751.844	3	58	F	4
756.927	17.895	fakerating	774.927	3	127	F	3
780.56	17.905	fakerating	798.559	3	61	F	4
803.742	17.896	fakerating	821.742	3	57	F	5
827.458	17.89	fakerating	845.441	3	128	F	5
850.108	17.896	fakerating	868.107	3	131	F	4
873.424	17.89	fakerating	891.423	3	85	F	2
897.106	17.911	fakerating	915.106	3	72	F	5
920.139	17.897	fakerating	938.138	3	74	F	3
26.133	1.874	fixations	n/a	n/a	n/a	n/a	n/a
49.132	1.431	fixations	n/a	n/a	n/a	n/a	n/a
71.698	1.624	fixations	n/a	n/a	n/a	n/a	n/a
94.447	2.46	fixations	n/a	n/a	n/a	n/a	n/a
118.047	2.484	fixations	n/a	n/a	n/a	n/a	n/a
141.663	1.686	fixations	n/a	n/a	n/a	n/a	n/a
164.379	1.563	fixations	n/a	n/a	n/a	n/a	n/a
186.978	2.057	fixations	n/a	n/a	n/a	n/a	n/a
210.16	2.287	fixations	n/a	n/a	n/a	n/a	n/a
233.476	2.149	fixations	n/a	n/a	n/a	n/a	n/a
261.759	1.474	fixations	n/a	n/a	n/a	n/a	n/a
284.258	1.894	fixations	n/a	n/a	n/a	n/a	n/a
307.291	1.678	fixations	n/a	n/a	n/a	n/a	n/a
330.007	2.083	fixations	n/a	n/a	n/a	n/a	n/a
353.223	2.566	fixations	n/a	n/a	n/a	n/a	n/a
376.922	2.008	fixations	n/a	n/a	n/a	n/a	n/a
399.955	1.737	fixations	n/a	n/a	n/a	n/a	n/a
422.721	1.45	fixations	n/a	n/a	n/a	n/a	n/a
445.303	2.7	fixations	n/a	n/a	n/a	n/a	n/a
469.036	2.139	fixations	n/a	n/a	n/a	n/a	n/a
497.318	1.423	fixations	n/a	n/a	n/a	n/a	n/a
519.868	2.169	fixations	n/a	n/a	n/a	n/a	n/a
543.067	1.763	fixations	n/a	n/a	n/a	n/a	n/a
565.966	1.312	fixations	n/a	n/a	n/a	n/a	n/a
588.416	1.398	fixations	n/a	n/a	n/a	n/a	n/a
610.948	2.049	fixations	n/a	n/a	n/a	n/a	n/a
634.131	2.545	fixations	n/a	n/a	n/a	n/a	n/a
657.814	2.033	fixations	n/a	n/a	n/a	n/a	n/a
680.879	2.161	fixations	n/a	n/a	n/a	n/a	n/a
704.179	1.314	fixations	n/a	n/a	n/a	n/a	n/a
731.611	2.144	fixations	n/a	n/a	n/a	n/a	n/a
754.877	1.945	fixations	n/a	n/a	n/a	n/a	n/a
777.96	2.505	fixations	n/a	n/a	n/a	n/a	n/a
801.492	2.146	fixations	n/a	n/a	n/a	n/a	n/a
824.775	2.573	fixations	n/a	n/a	n/a	n/a	n/a
848.374	1.63	fixations	n/a	n/a	n/a	n/a	n/a
871.04	2.274	fixations	n/a	n/a	n/a	n/a	n/a
894.556	2.461	fixations	n/a	n/a	n/a	n/a	n/a
918.139	1.897	fixations	n/a	n/a	n/a	n/a	n/a
941.171	1.911	fixations	n/a	n/a	n/a	n/a	n/a
0.033	4.966	intro&rest	n/a	n/a	n/a	n/a	n/a
235.66	4.965	intro&rest	n/a	n/a	n/a	n/a	n/a
471.203	4.972	intro&rest	n/a	n/a	n/a	n/a	n/a
705.529	4.964	intro&rest	n/a	n/a	n/a	n/a	n/a
943.121	1.961	intro&rest	n/a	n/a	n/a	n/a	n/a
