onset	duration	trial_type	onset_response	response_time	news_no	news_real/fake	value
0.031	4.968	intro&rest	n/a	n/a	n/a	n/a	n/a
5.098	17.901	fakerating	23.097	3	75	F	1
26.13	2.287	fixations	n/a	n/a	n/a	n/a	n/a
28.514	17.903	fakerating	46.513	3	89	F	1
49.546	2.484	fixations	n/a	n/a	n/a	n/a	n/a
52.113	17.917	fakerating	70.129	3	63	F	1
73.162	2.059	fixations	n/a	n/a	n/a	n/a	n/a
75.312	17.909	fakerating	93.312	3	90	F	1
96.345	1.624	fixations	n/a	n/a	n/a	n/a	n/a
98.061	17.908	fakerating	116.077	3	53	F	1
119.111	1.558	fixations	n/a	n/a	n/a	n/a	n/a
120.777	17.892	fakerating	138.777	3	33	F	1
141.81	2.46	fixations	n/a	n/a	n/a	n/a	n/a
144.36	17.91	fakerating	162.376	3	62	F	1
165.409	2.144	fixations	n/a	n/a	n/a	n/a	n/a
167.643	17.91	fakerating	185.659	3	76	F	2
188.692	1.875	fixations	n/a	n/a	n/a	n/a	n/a
190.659	17.908	fakerating	208.658	3	77	F	1
211.691	1.431	fixations	n/a	n/a	n/a	n/a	n/a
213.224	17.898	fakerating	231.224	3	36	F	1
234.257	1.687	fixations	n/a	n/a	n/a	n/a	n/a
235.974	4.97	intro&rest	n/a	n/a	n/a	n/a	n/a
241.04	17.904	realrating	259.04	3	134	R	1
262.073	1.885	fixations	n/a	n/a	n/a	n/a	n/a
264.056	17.902	realrating	282.056	3	121	R	2
285.089	2.567	fixations	n/a	n/a	n/a	n/a	n/a
287.756	17.9	realrating	305.755	3	118	R	1
308.788	2.7	fixations	n/a	n/a	n/a	n/a	n/a
311.588	17.9	realrating	329.588	3	116	R	2
332.621	2.138	fixations	n/a	n/a	n/a	n/a	n/a
334.854	17.905	realrating	352.854	3	114	R	1
355.887	1.678	fixations	n/a	n/a	n/a	n/a	n/a
357.67	17.895	realrating	375.67	3	119	R	3
378.703	2.087	fixations	n/a	n/a	n/a	n/a	n/a
380.886	17.904	realrating	398.886	3	112	R	2
401.919	1.474	fixations	n/a	n/a	n/a	n/a	n/a
403.485	17.908	realrating	421.485	3	115	R	1
424.518	1.445	fixations	n/a	n/a	n/a	n/a	n/a
426.068	17.895	realrating	444.067	3	102	R	1
447.101	2.007	fixations	n/a	n/a	n/a	n/a	n/a
449.217	17.891	realrating	467.217	3	113	R	3
470.25	1.728	fixations	n/a	n/a	n/a	n/a	n/a
472.017	4.961	intro&rest	n/a	n/a	n/a	n/a	n/a
477.067	17.911	realrating	495.082	3	108	R	1
498.116	2.169	fixations	n/a	n/a	n/a	n/a	n/a
500.382	17.903	realrating	518.382	3	28	R	1
521.415	1.399	fixations	n/a	n/a	n/a	n/a	n/a
522.915	17.899	realrating	540.914	3	105	R	1
543.948	1.422	fixations	n/a	n/a	n/a	n/a	n/a
545.481	17.889	realrating	563.464	3	107	R	4
566.497	2.034	fixations	n/a	n/a	n/a	n/a	n/a
568.664	17.867	realrating	586.63	3	100	R	1
589.663	2.159	fixations	n/a	n/a	n/a	n/a	n/a
591.93	17.892	realrating	609.929	3	103	R	2
612.962	1.314	fixations	n/a	n/a	n/a	n/a	n/a
614.379	17.897	realrating	632.378	3	104	R	1
635.412	2.544	fixations	n/a	n/a	n/a	n/a	n/a
638.061	17.895	realrating	656.061	3	24	R	2
659.094	2.049	fixations	n/a	n/a	n/a	n/a	n/a
661.261	17.882	realrating	679.243	3	27	R	2
682.277	1.311	fixations	n/a	n/a	n/a	n/a	n/a
683.71	17.878	realrating	701.693	3	94	R	1
704.726	1.759	fixations	n/a	n/a	n/a	n/a	n/a
706.526	4.959	intro&rest	n/a	n/a	n/a	n/a	n/a
711.576	17.909	fakerating	729.575	3	58	F	2
732.609	1.945	fixations	n/a	n/a	n/a	n/a	n/a
734.659	17.895	fakerating	752.658	3	74	F	2
755.691	1.911	fixations	n/a	n/a	n/a	n/a	n/a
757.708	17.894	fakerating	775.707	3	131	F	1
778.74	2.274	fixations	n/a	n/a	n/a	n/a	n/a
781.107	17.907	fakerating	799.106	3	91	F	1
802.14	2.144	fixations	n/a	n/a	n/a	n/a	n/a
804.39	17.894	fakerating	822.389	3	85	F	1
825.422	2.464	fixations	n/a	n/a	n/a	n/a	n/a
828.006	17.877	fakerating	845.988	3	127	F	1
849.022	2.505	fixations	n/a	n/a	n/a	n/a	n/a
851.638	17.889	fakerating	869.621	3	57	F	1
872.654	2.573	fixations	n/a	n/a	n/a	n/a	n/a
875.321	17.906	fakerating	893.32	3	128	F	1
896.353	1.63	fixations	n/a	n/a	n/a	n/a	n/a
898.087	17.896	fakerating	916.086	3	72	F	1
919.12	1.897	fixations	n/a	n/a	n/a	n/a	n/a
921.119	17.898	fakerating	939.119	3	61	F	1
942.152	2.146	fixations	n/a	n/a	n/a	n/a	n/a
944.335	1.963	intro&rest	n/a	n/a	n/a	n/a	n/a
