onset	duration	trial_type	onset_response	response_time	news_no	news_real/fake	value
5.1	17.899	fakerating	23.099	3	76	F	1
28.099	17.908	fakerating	46.099	3	63	F	2
51.299	17.892	fakerating	69.298	3	33	F	1
74.898	17.893	fakerating	92.881	3	89	F	1
98.497	17.901	fakerating	116.497	3	77	F	1
121.063	17.898	fakerating	139.063	3	62	F	1
144.329	17.911	fakerating	162.329	3	75	F	1
167.745	17.904	fakerating	185.744	3	90	F	1
190.511	17.89	fakerating	208.511	3	53	F	4
213.21	17.893	fakerating	231.193	3	36	F	1
241.026	17.887	realrating	259.009	3	116	R	0
264.276	17.904	realrating	282.275	3	115	R	1
286.858	17.895	realrating	304.858	3	114	R	1
309.674	17.895	realrating	327.673	3	121	R	2
333.373	17.9	realrating	351.373	3	119	R	1
356.506	17.888	realrating	374.489	3	118	R	1
380.322	17.9	realrating	398.338	3	113	R	5
403.205	17.894	realrating	421.187	3	102	R	4
426.337	17.891	realrating	444.32	3	112	R	2
448.936	17.891	realrating	466.92	3	134	R	5
476.936	17.902	realrating	494.952	3	103	R	1
499.402	17.897	realrating	517.401	3	104	R	1
523.084	17.895	realrating	541.084	3	108	R	1
546.383	17.904	realrating	564.383	3	24	R	1
569.583	17.882	realrating	587.566	3	100	R	2
592.849	17.909	realrating	610.865	3	28	R	6
615.398	17.899	realrating	633.398	3	107	R	1
638.564	17.901	realrating	656.563	3	94	R	1
661.463	17.892	realrating	679.463	3	105	R	1
684.013	17.906	realrating	702.012	3	27	R	1
711.445	17.912	fakerating	729.445	3	58	F	1
734.528	17.895	fakerating	752.527	3	85	F	5
758.127	17.895	fakerating	776.126	3	72	F	1
781.16	17.897	fakerating	799.176	3	127	F	1
804.826	17.888	fakerating	822.825	3	74	F	1
827.858	17.911	fakerating	845.858	3	91	F	1
851.141	17.894	fakerating	869.14	3	131	F	1
874.54	17.908	fakerating	892.556	3	128	F	1
897.323	17.897	fakerating	915.322	3	57	F	1
921.022	17.906	fakerating	939.022	3	1	F	6
26.133	1.874	fixation	n/a	n/a	n/a	n/a	n/a
49.132	2.059	fixation	n/a	n/a	n/a	n/a	n/a
72.331	2.46	fixation	n/a	n/a	n/a	n/a	n/a
95.914	2.484	fixation	n/a	n/a	n/a	n/a	n/a
119.53	1.431	fixation	n/a	n/a	n/a	n/a	n/a
142.096	2.144	fixation	n/a	n/a	n/a	n/a	n/a
165.362	2.287	fixation	n/a	n/a	n/a	n/a	n/a
188.778	1.623	fixation	n/a	n/a	n/a	n/a	n/a
211.544	1.559	fixation	n/a	n/a	n/a	n/a	n/a
234.226	1.687	fixation	n/a	n/a	n/a	n/a	n/a
262.042	2.138	fixation	n/a	n/a	n/a	n/a	n/a
285.308	1.445	fixation	n/a	n/a	n/a	n/a	n/a
307.891	1.678	fixation	n/a	n/a	n/a	n/a	n/a
330.707	2.566	fixation	n/a	n/a	n/a	n/a	n/a
354.306	2.088	fixation	n/a	n/a	n/a	n/a	n/a
377.522	2.7	fixation	n/a	n/a	n/a	n/a	n/a
401.371	1.728	fixation	n/a	n/a	n/a	n/a	n/a
424.221	2.007	fixation	n/a	n/a	n/a	n/a	n/a
447.353	1.474	fixation	n/a	n/a	n/a	n/a	n/a
469.952	1.886	fixation	n/a	n/a	n/a	n/a	n/a
497.985	1.314	fixation	n/a	n/a	n/a	n/a	n/a
520.434	2.545	fixation	n/a	n/a	n/a	n/a	n/a
544.117	2.17	fixation	n/a	n/a	n/a	n/a	n/a
567.416	2.049	fixation	n/a	n/a	n/a	n/a	n/a
590.599	2.159	fixation	n/a	n/a	n/a	n/a	n/a
613.898	1.399	fixation	n/a	n/a	n/a	n/a	n/a
636.431	2.034	fixation	n/a	n/a	n/a	n/a	n/a
659.597	1.758	fixation	n/a	n/a	n/a	n/a	n/a
682.496	1.423	fixation	n/a	n/a	n/a	n/a	n/a
705.045	1.312	fixation	n/a	n/a	n/a	n/a	n/a
732.478	1.945	fixation	n/a	n/a	n/a	n/a	n/a
755.561	2.461	fixation	n/a	n/a	n/a	n/a	n/a
779.16	1.897	fixation	n/a	n/a	n/a	n/a	n/a
802.209	2.505	fixation	n/a	n/a	n/a	n/a	n/a
825.858	1.911	fixation	n/a	n/a	n/a	n/a	n/a
848.891	2.144	fixation	n/a	n/a	n/a	n/a	n/a
872.174	2.274	fixation	n/a	n/a	n/a	n/a	n/a
895.59	1.63	fixation	n/a	n/a	n/a	n/a	n/a
918.355	2.573	fixation	n/a	n/a	n/a	n/a	n/a
942.055	2.146	fixation	n/a	n/a	n/a	n/a	n/a
0.033	4.966	intro&rest	n/a	n/a	n/a	n/a	n/a
235.943	4.97	intro&rest	n/a	n/a	n/a	n/a	n/a
471.869	4.969	intro&rest	n/a	n/a	n/a	n/a	n/a
706.395	4.962	intro&rest	n/a	n/a	n/a	n/a	n/a
944.238	1.963	intro&rest	n/a	n/a	n/a	n/a	n/a
