onset	duration	trial_type	onset_response	response_time	news_no	news_real/fake	value
5.141	17.858	sharingrating1	23.107	3	22	R	2
27.673	17.886	sharingrating1	45.656	3	98	R	4
51.772	17.879	sharingrating1	69.755	3	117	R	6
74.738	17.888	sharingrating1	92.721	3	18	R	1
97.721	17.903	sharingrating1	115.721	3	132	F	6
121.104	17.901	sharingrating1	139.103	3	11	R	5
144.303	17.882	sharingrating1	162.286	3	2	R	1
168.336	17.89	sharingrating1	186.318	3	21	R	4
191.968	17.885	sharingrating1	209.951	3	8	R	6
214.967	17.903	sharingrating1	232.967	3	83	F	5
237.534	17.886	sharingrating1	255.516	3	111	R	6
260.116	17.902	sharingrating1	278.116	3	122	F	4
282.999	17.902	sharingrating1	300.998	3	109	R	1
306.848	17.905	sharingrating1	324.847	3	133	F	1
329.414	17.9	sharingrating1	347.413	3	42	F	1
352.563	17.899	sharingrating1	370.563	3	37	F	2
376.296	17.906	sharingrating1	394.295	3	87	F	2
399.828	17.896	sharingrating1	417.828	3	93	R	6
422.978	17.889	sharingrating1	440.961	3	19	R	1
445.16	17.898	sharingrating1	463.16	3	130	F	6
467.86	17.89	sharingrating1	485.859	3	50	F	1
491.242	17.89	sharingrating1	509.242	3	129	F	6
514.558	17.898	sharingrating1	532.558	3	68	F	1
537.174	17.889	sharingrating1	555.157	3	97	R	4
560.374	17.902	sharingrating1	578.373	3	78	F	3
583.74	17.907	sharingrating1	601.739	3	40	F	1
606.706	17.895	sharingrating1	624.705	3	29	R	1
629.938	17.899	sharingrating1	647.938	3	110	R	1
652.587	17.898	sharingrating1	670.587	3	71	F	1
675.903	17.897	sharingrating1	693.903	3	123	F	3
698.436	17.899	sharingrating1	716.436	3	51	F	1
721.619	17.903	sharingrating1	739.618	3	49	F	1
744.818	17.892	sharingrating1	762.818	3	35	F	6
768.301	17.909	sharingrating1	786.3	3	67	F	2
791.2	17.897	sharingrating1	809.199	3	43	F	5
813.866	17.894	sharingrating1	831.865	3	17	R	6
836.415	17.901	sharingrating1	854.415	3	13	R	1
858.948	17.905	sharingrating1	876.947	3	120	R	5
882.83	17.898	sharingrating1	900.83	3	7	R	1
906.713	17.916	sharingrating1	924.712	3	23	R	1
937.029	17.891	accuracyrating	955.012	3	31	F	1
960.461	17.904	accuracyrating	978.461	3	86	F	3
983.377	17.905	accuracyrating	1001.377	3	81	F	5
1005.943	17.894	accuracyrating	1023.926	3	1	R	2
1028.676	17.902	accuracyrating	1046.675	3	32	F	1
1051.559	17.907	accuracyrating	1069.558	3	70	F	1
1075.091	17.892	accuracyrating	1093.091	3	95	R	1
1097.607	17.891	accuracyrating	1115.59	3	64	F	2
1120.24	17.908	accuracyrating	1138.239	3	15	R	5
1143.773	17.908	accuracyrating	1161.772	3	12	R	5
1166.572	17.886	accuracyrating	1184.555	3	25	R	6
1190.021	17.9	accuracyrating	1208.02	3	96	R	6
1212.437	17.911	accuracyrating	1230.453	3	38	F	5
1235.586	17.898	accuracyrating	1253.586	3	79	F	1
1258.869	17.898	accuracyrating	1276.885	3	106	R	5
1282.135	17.901	accuracyrating	1300.134	3	47	F	4
1305.768	17.898	accuracyrating	1323.767	3	4	R	6
1329.55	17.907	accuracyrating	1347.55	3	26	R	6
1352.866	17.905	accuracyrating	1370.866	3	9	R	4
1375.965	17.888	accuracyrating	1393.965	3	55	F	5
1406.864	17.898	sharingrating2	1424.864	3	3	R	5
1429.881	17.91	sharingrating2	1447.88	3	44	F	6
1452.647	17.882	sharingrating2	1470.629	3	14	R	2
1475.562	17.904	sharingrating2	1493.562	3	69	F	1
1498.012	17.884	sharingrating2	1515.994	3	10	R	1
1521.494	17.904	sharingrating2	1539.494	3	41	F	3
1544.86	17.89	sharingrating2	1562.843	3	5	R	6
1568.176	17.893	sharingrating2	1586.159	3	20	R	6
1591.159	17.889	sharingrating2	1609.158	3	45	F	1
1615.091	17.899	sharingrating2	1633.091	3	30	R	1
1638.857	17.894	sharingrating2	1656.857	3	39	F	1
1661.257	17.886	sharingrating2	1679.24	3	65	F	4
1684.406	17.91	sharingrating2	1702.405	3	66	F	1
1707.872	17.902	sharingrating2	1725.871	3	6	R	1
1730.438	17.894	sharingrating2	1748.437	3	73	F	6
1753.571	17.888	sharingrating2	1771.57	3	16	R	4
1777.02	17.898	sharingrating2	1795.019	3	99	R	1
1800.552	17.897	sharingrating2	1818.552	3	34	F	2
1823.652	17.903	sharingrating2	1841.651	3	88	F	1
1846.052	17.898	sharingrating2	1864.051	3	101	R	3
26.14	1.419	fixations	n/a	n/a	n/a	n/a	n/a
48.689	2.962	fixations	n/a	n/a	n/a	n/a	n/a
72.788	1.838	fixations	n/a	n/a	n/a	n/a	n/a
95.754	1.87	fixations	n/a	n/a	n/a	n/a	n/a
118.754	2.251	fixations	n/a	n/a	n/a	n/a	n/a
142.136	2.049	fixations	n/a	n/a	n/a	n/a	n/a
165.319	2.907	fixations	n/a	n/a	n/a	n/a	n/a
189.352	2.505	fixations	n/a	n/a	n/a	n/a	n/a
212.984	1.886	fixations	n/a	n/a	n/a	n/a	n/a
236	1.42	fixations	n/a	n/a	n/a	n/a	n/a
258.55	1.468	fixations	n/a	n/a	n/a	n/a	n/a
281.149	1.752	fixations	n/a	n/a	n/a	n/a	n/a
304.031	2.722	fixations	n/a	n/a	n/a	n/a	n/a
327.881	1.433	fixations	n/a	n/a	n/a	n/a	n/a
350.447	2.015	fixations	n/a	n/a	n/a	n/a	n/a
373.596	2.606	fixations	n/a	n/a	n/a	n/a	n/a
397.329	2.395	fixations	n/a	n/a	n/a	n/a	n/a
420.861	2.006	fixations	n/a	n/a	n/a	n/a	n/a
443.994	1.065	fixations	n/a	n/a	n/a	n/a	n/a
466.193	1.557	fixations	n/a	n/a	n/a	n/a	n/a
488.893	2.239	fixations	n/a	n/a	n/a	n/a	n/a
512.275	2.181	fixations	n/a	n/a	n/a	n/a	n/a
535.591	1.472	fixations	n/a	n/a	n/a	n/a	n/a
558.19	2.086	fixations	n/a	n/a	n/a	n/a	n/a
581.406	2.241	fixations	n/a	n/a	n/a	n/a	n/a
604.772	1.829	fixations	n/a	n/a	n/a	n/a	n/a
627.738	2.099	fixations	n/a	n/a	n/a	n/a	n/a
650.971	1.521	fixations	n/a	n/a	n/a	n/a	n/a
673.62	2.18	fixations	n/a	n/a	n/a	n/a	n/a
696.936	1.399	fixations	n/a	n/a	n/a	n/a	n/a
719.469	2.053	fixations	n/a	n/a	n/a	n/a	n/a
742.651	2.059	fixations	n/a	n/a	n/a	n/a	n/a
765.851	2.359	fixations	n/a	n/a	n/a	n/a	n/a
789.333	1.764	fixations	n/a	n/a	n/a	n/a	n/a
812.233	1.527	fixations	n/a	n/a	n/a	n/a	n/a
834.899	1.417	fixations	n/a	n/a	n/a	n/a	n/a
857.448	1.405	fixations	n/a	n/a	n/a	n/a	n/a
879.981	2.747	fixations	n/a	n/a	n/a	n/a	n/a
903.863	2.766	fixations	n/a	n/a	n/a	n/a	n/a
927.746	1.174	fixations	n/a	n/a	n/a	n/a	n/a
958.045	2.32	fixations	n/a	n/a	n/a	n/a	n/a
981.494	1.788	fixations	n/a	n/a	n/a	n/a	n/a
1004.41	1.427	fixations	n/a	n/a	n/a	n/a	n/a
1026.959	1.619	fixations	n/a	n/a	n/a	n/a	n/a
1049.709	1.757	fixations	n/a	n/a	n/a	n/a	n/a
1072.591	2.392	fixations	n/a	n/a	n/a	n/a	n/a
1096.124	1.374	fixations	n/a	n/a	n/a	n/a	n/a
1118.623	1.525	fixations	n/a	n/a	n/a	n/a	n/a
1141.273	2.408	fixations	n/a	n/a	n/a	n/a	n/a
1164.805	1.653	fixations	n/a	n/a	n/a	n/a	n/a
1187.588	2.333	fixations	n/a	n/a	n/a	n/a	n/a
1211.054	1.294	fixations	n/a	n/a	n/a	n/a	n/a
1233.486	1.998	fixations	n/a	n/a	n/a	n/a	n/a
1256.519	2.248	fixations	n/a	n/a	n/a	n/a	n/a
1279.918	2.118	fixations	n/a	n/a	n/a	n/a	n/a
1303.168	2.498	fixations	n/a	n/a	n/a	n/a	n/a
1326.8	2.657	fixations	n/a	n/a	n/a	n/a	n/a
1350.583	2.188	fixations	n/a	n/a	n/a	n/a	n/a
1373.899	1.954	fixations	n/a	n/a	n/a	n/a	n/a
1396.998	1.764	fixations	n/a	n/a	n/a	n/a	n/a
1427.897	1.894	fixations	n/a	n/a	n/a	n/a	n/a
1450.913	1.616	fixations	n/a	n/a	n/a	n/a	n/a
1473.662	1.804	fixations	n/a	n/a	n/a	n/a	n/a
1496.495	1.401	fixations	n/a	n/a	n/a	n/a	n/a
1519.028	2.37	fixations	n/a	n/a	n/a	n/a	n/a
1542.527	2.223	fixations	n/a	n/a	n/a	n/a	n/a
1565.776	2.293	fixations	n/a	n/a	n/a	n/a	n/a
1589.192	1.858	fixations	n/a	n/a	n/a	n/a	n/a
1612.192	2.798	fixations	n/a	n/a	n/a	n/a	n/a
1636.124	2.627	fixations	n/a	n/a	n/a	n/a	n/a
1659.89	1.253	fixations	n/a	n/a	n/a	n/a	n/a
1682.273	2.043	fixations	n/a	n/a	n/a	n/a	n/a
1705.439	2.335	fixations	n/a	n/a	n/a	n/a	n/a
1728.805	1.527	fixations	n/a	n/a	n/a	n/a	n/a
1751.471	1.988	fixations	n/a	n/a	n/a	n/a	n/a
1774.603	2.315	fixations	n/a	n/a	n/a	n/a	n/a
1798.053	2.396	fixations	n/a	n/a	n/a	n/a	n/a
1821.585	1.97	fixations	n/a	n/a	n/a	n/a	n/a
1844.684	1.266	fixations	n/a	n/a	n/a	n/a	n/a
1867.084	1.356	fixations	n/a	n/a	n/a	n/a	n/a
0.041	4.964	intro&rest	n/a	n/a	n/a	n/a	n/a
928.962	3	intro&rest	n/a	n/a	n/a	n/a	n/a
931.946	5	intro&rest	n/a	n/a	n/a	n/a	n/a
1398.798	3	intro&rest	n/a	n/a	n/a	n/a	n/a
1401.798	5	intro&rest	n/a	n/a	n/a	n/a	n/a
1868.468	2	intro&rest	n/a	n/a	n/a	n/a	n/a
