onset	duration	trial_type	onset_response	response_time	news_no	news_real/fake	value
5.115	17.884	sharingrating1	23.098	3	71	F	3
28.431	17.88	sharingrating1	46.413	3	123	F	4
50.963	17.882	sharingrating1	68.946	3	29	R	2
74.196	17.882	sharingrating1	92.179	3	35	F	4
97.695	17.876	sharingrating1	115.678	3	2	R	4
121.728	17.89	sharingrating1	139.711	3	40	F	3
144.677	17.896	sharingrating1	162.677	3	43	F	4
167.36	17.878	sharingrating1	185.343	3	97	R	2
190.476	17.882	sharingrating1	208.459	3	51	F	3
213.659	17.886	sharingrating1	231.641	3	129	F	4
236.974	17.881	sharingrating1	254.957	3	68	F	5
259.557	17.905	sharingrating1	277.556	3	23	R	2
281.873	17.891	sharingrating1	299.856	3	49	F	4
304.956	17.901	sharingrating1	322.955	3	19	R	3
327.155	17.897	sharingrating1	345.138	3	67	F	5
349.971	17.879	sharingrating1	367.954	3	98	R	2
374.054	17.895	sharingrating1	392.053	3	120	R	3
397.936	17.898	sharingrating1	415.936	3	110	R	5
420.486	17.896	sharingrating1	438.485	3	83	F	4
443.035	17.903	sharingrating1	461.034	3	133	F	2
465.601	17.9	sharingrating1	483.6	3	17	R	4
488.05	17.903	sharingrating1	506.049	3	122	F	5
510.949	17.885	sharingrating1	528.932	3	78	F	4
534.215	17.894	sharingrating1	552.198	3	13	R	4
556.731	17.905	sharingrating1	574.731	3	130	F	6
579.414	17.907	sharingrating1	597.413	3	11	R	6
602.513	17.891	sharingrating1	620.496	3	109	R	4
626.279	17.881	sharingrating1	644.262	3	111	R	4
648.862	17.902	sharingrating1	666.861	3	117	R	5
671.744	17.892	sharingrating1	689.727	3	93	R	4
694.877	17.889	sharingrating1	712.86	3	21	R	2
718.493	17.9	sharingrating1	736.493	3	87	F	4
742.042	17.88	sharingrating1	760.025	3	50	F	5
765.408	17.89	sharingrating1	783.408	3	22	R	3
787.957	17.903	sharingrating1	805.957	3	132	F	4
811.34	17.901	sharingrating1	829.34	3	7	R	4
835.239	17.9	sharingrating1	853.239	3	8	R	2
858.272	17.886	sharingrating1	876.255	3	18	R	4
881.255	17.903	sharingrating1	899.254	3	42	F	4
904.404	17.899	sharingrating1	922.403	3	37	F	2
936.153	17.889	accuracyrating	954.136	3	1	R	4
958.886	17.902	accuracyrating	976.885	3	70	F	2
982.418	17.892	accuracyrating	1000.418	3	106	R	4
1005.668	17.901	accuracyrating	1023.667	3	4	R	5
1029.467	17.89	accuracyrating	1047.45	3	79	F	3
1052.833	17.899	accuracyrating	1070.832	3	38	F	3
1075.965	17.898	accuracyrating	1093.965	3	31	F	2
1099.315	17.902	accuracyrating	1117.314	3	81	F	6
1121.781	17.897	accuracyrating	1139.78	3	32	F	1
1144.68	17.891	accuracyrating	1162.679	3	55	F	4
1167.563	17.913	accuracyrating	1185.579	3	26	R	5
1190.912	17.888	accuracyrating	1208.895	3	25	R	3
1214.361	17.9	accuracyrating	1232.361	3	9	R	2
1237.444	17.904	accuracyrating	1255.443	3	86	F	2
1260.36	17.904	accuracyrating	1278.359	3	95	R	6
1282.859	17.907	accuracyrating	1300.859	3	15	R	4
1306.409	17.892	accuracyrating	1324.392	3	64	F	2
1329.041	17.909	accuracyrating	1347.04	3	47	F	5
1352.658	17.914	accuracyrating	1370.673	3	96	R	5
1375.106	17.895	accuracyrating	1393.106	3	12	R	5
1405.889	17.903	sharingrating2	1423.888	3	16	R	4
1429.338	17.898	sharingrating2	1447.337	3	34	F	4
1452.437	17.903	sharingrating2	1470.437	3	45	F	4
1476.387	17.882	sharingrating2	1494.369	3	14	R	4
1499.319	17.887	sharingrating2	1517.302	3	73	F	6
1522.352	17.877	sharingrating2	1540.318	3	65	F	4
1545.501	17.893	sharingrating2	1563.484	3	6	R	4
1568.15	17.891	sharingrating2	1586.133	3	101	R	5
1590.633	17.889	sharingrating2	1608.616	3	99	R	4
1614.149	17.897	sharingrating2	1632.148	3	20	R	4
1637.132	17.905	sharingrating2	1655.131	3	41	F	4
1660.498	17.889	sharingrating2	1678.48	3	3	R	4
1683.414	17.901	sharingrating2	1701.413	3	30	R	3
1707.18	17.893	sharingrating2	1725.179	3	39	F	5
1729.462	17.898	sharingrating2	1747.462	3	5	R	5
1752.878	17.902	sharingrating2	1770.878	3	44	F	5
1775.627	17.9	sharingrating2	1793.627	3	88	F	5
1798.01	17.916	sharingrating2	1816.009	3	66	F	5
1821.476	17.902	sharingrating2	1839.476	3	10	R	4
1844.975	17.905	sharingrating2	1862.975	3	69	F	5
26.131	2.18	fixations	n/a	n/a	n/a	n/a	n/a
49.447	1.398	fixations	n/a	n/a	n/a	n/a	n/a
71.979	2.099	fixations	n/a	n/a	n/a	n/a	n/a
95.212	2.359	fixations	n/a	n/a	n/a	n/a	n/a
118.711	2.907	fixations	n/a	n/a	n/a	n/a	n/a
142.744	1.829	fixations	n/a	n/a	n/a	n/a	n/a
165.71	1.528	fixations	n/a	n/a	n/a	n/a	n/a
188.276	2.082	fixations	n/a	n/a	n/a	n/a	n/a
211.492	2.053	fixations	n/a	n/a	n/a	n/a	n/a
234.674	2.181	fixations	n/a	n/a	n/a	n/a	n/a
257.99	1.472	fixations	n/a	n/a	n/a	n/a	n/a
280.59	1.174	fixations	n/a	n/a	n/a	n/a	n/a
302.789	2.068	fixations	n/a	n/a	n/a	n/a	n/a
325.988	1.064	fixations	n/a	n/a	n/a	n/a	n/a
348.088	1.762	fixations	n/a	n/a	n/a	n/a	n/a
370.987	2.962	fixations	n/a	n/a	n/a	n/a	n/a
395.086	2.748	fixations	n/a	n/a	n/a	n/a	n/a
418.869	1.513	fixations	n/a	n/a	n/a	n/a	n/a
441.518	1.42	fixations	n/a	n/a	n/a	n/a	n/a
464.067	1.434	fixations	n/a	n/a	n/a	n/a	n/a
486.533	1.42	fixations	n/a	n/a	n/a	n/a	n/a
509.083	1.751	fixations	n/a	n/a	n/a	n/a	n/a
531.865	2.244	fixations	n/a	n/a	n/a	n/a	n/a
555.231	1.405	fixations	n/a	n/a	n/a	n/a	n/a
577.764	1.557	fixations	n/a	n/a	n/a	n/a	n/a
600.347	2.057	fixations	n/a	n/a	n/a	n/a	n/a
623.429	2.731	fixations	n/a	n/a	n/a	n/a	n/a
647.295	1.469	fixations	n/a	n/a	n/a	n/a	n/a
669.794	1.842	fixations	n/a	n/a	n/a	n/a	n/a
692.76	2.006	fixations	n/a	n/a	n/a	n/a	n/a
715.893	2.5	fixations	n/a	n/a	n/a	n/a	n/a
739.526	2.396	fixations	n/a	n/a	n/a	n/a	n/a
763.058	2.24	fixations	n/a	n/a	n/a	n/a	n/a
786.441	1.419	fixations	n/a	n/a	n/a	n/a	n/a
808.99	2.251	fixations	n/a	n/a	n/a	n/a	n/a
832.373	2.766	fixations	n/a	n/a	n/a	n/a	n/a
856.272	1.886	fixations	n/a	n/a	n/a	n/a	n/a
879.288	1.87	fixations	n/a	n/a	n/a	n/a	n/a
902.287	2.016	fixations	n/a	n/a	n/a	n/a	n/a
925.437	2.605	fixations	n/a	n/a	n/a	n/a	n/a
957.219	1.569	fixations	n/a	n/a	n/a	n/a	n/a
979.918	2.392	fixations	n/a	n/a	n/a	n/a	n/a
1003.451	2.118	fixations	n/a	n/a	n/a	n/a	n/a
1026.7	2.657	fixations	n/a	n/a	n/a	n/a	n/a
1050.483	2.249	fixations	n/a	n/a	n/a	n/a	n/a
1073.865	1.998	fixations	n/a	n/a	n/a	n/a	n/a
1096.898	2.319	fixations	n/a	n/a	n/a	n/a	n/a
1120.247	1.431	fixations	n/a	n/a	n/a	n/a	n/a
1142.813	1.758	fixations	n/a	n/a	n/a	n/a	n/a
1165.713	1.763	fixations	n/a	n/a	n/a	n/a	n/a
1188.612	2.188	fixations	n/a	n/a	n/a	n/a	n/a
1211.928	2.333	fixations	n/a	n/a	n/a	n/a	n/a
1235.394	1.954	fixations	n/a	n/a	n/a	n/a	n/a
1258.476	1.788	fixations	n/a	n/a	n/a	n/a	n/a
1281.392	1.374	fixations	n/a	n/a	n/a	n/a	n/a
1303.892	2.409	fixations	n/a	n/a	n/a	n/a	n/a
1327.424	1.526	fixations	n/a	n/a	n/a	n/a	n/a
1350.074	2.498	fixations	n/a	n/a	n/a	n/a	n/a
1373.706	1.295	fixations	n/a	n/a	n/a	n/a	n/a
1396.139	1.653	fixations	n/a	n/a	n/a	n/a	n/a
1426.921	2.315	fixations	n/a	n/a	n/a	n/a	n/a
1450.421	1.919	fixations	n/a	n/a	n/a	n/a	n/a
1473.47	2.799	fixations	n/a	n/a	n/a	n/a	n/a
1497.403	1.803	fixations	n/a	n/a	n/a	n/a	n/a
1520.235	1.994	fixations	n/a	n/a	n/a	n/a	n/a
1543.351	2.043	fixations	n/a	n/a	n/a	n/a	n/a
1566.517	1.524	fixations	n/a	n/a	n/a	n/a	n/a
1589.167	1.355	fixations	n/a	n/a	n/a	n/a	n/a
1611.649	2.397	fixations	n/a	n/a	n/a	n/a	n/a
1635.182	1.855	fixations	n/a	n/a	n/a	n/a	n/a
1658.164	2.223	fixations	n/a	n/a	n/a	n/a	n/a
1681.414	1.901	fixations	n/a	n/a	n/a	n/a	n/a
1704.446	2.627	fixations	n/a	n/a	n/a	n/a	n/a
1728.112	1.248	fixations	n/a	n/a	n/a	n/a	n/a
1750.495	2.285	fixations	n/a	n/a	n/a	n/a	n/a
1773.911	1.616	fixations	n/a	n/a	n/a	n/a	n/a
1796.66	1.266	fixations	n/a	n/a	n/a	n/a	n/a
1819.043	2.335	fixations	n/a	n/a	n/a	n/a	n/a
1842.509	2.371	fixations	n/a	n/a	n/a	n/a	n/a
1866.008	1.396	fixations	n/a	n/a	n/a	n/a	n/a
0.048	4.951	intro&rest	n/a	n/a	n/a	n/a	n/a
928.087	2.955	intro&rest	n/a	n/a	n/a	n/a	n/a
931.07	4.972	intro&rest	n/a	n/a	n/a	n/a	n/a
1397.822	2.97	intro&rest	n/a	n/a	n/a	n/a	n/a
1400.822	4.97	intro&rest	n/a	n/a	n/a	n/a	n/a
1867.441	1.963	intro&rest	n/a	n/a	n/a	n/a	n/a
