onset	duration	trial_type	onset_response	response_time	news_no	news_real/fake	value
0.031	4.968	intro&rest	n/a	n/a	n/a	n/a	n/a
5.098	17.901	realrating	23.097	3	108	R	3
26.23	2.07	fixations	n/a	n/a	n/a	n/a	n/a
28.397	17.903	realrating	46.396	3	105	R	2
49.429	1.423	fixations	n/a	n/a	n/a	n/a	n/a
50.962	17.89	realrating	68.945	3	24	R	6
71.979	2.048	fixations	n/a	n/a	n/a	n/a	n/a
74.129	17.898	realrating	92.128	3	107	R	4
95.178	2.017	fixations	n/a	n/a	n/a	n/a	n/a
97.295	17.9	realrating	115.294	3	27	R	1
118.327	1.312	fixations	n/a	n/a	n/a	n/a	n/a
119.761	17.878	realrating	137.743	3	100	R	6
140.677	2.155	fixations	n/a	n/a	n/a	n/a	n/a
142.926	17.906	realrating	160.926	3	28	R	6
163.959	1.399	fixations	n/a	n/a	n/a	n/a	n/a
165.459	17.899	realrating	183.459	3	104	R	1
186.492	2.545	fixations	n/a	n/a	n/a	n/a	n/a
189.142	17.895	realrating	207.141	3	94	R	6
210.175	1.758	fixations	n/a	n/a	n/a	n/a	n/a
212.041	17.892	realrating	230.041	3	103	R	4
233.091	1.297	fixations	n/a	n/a	n/a	n/a	n/a
234.424	4.964	intro&rest	n/a	n/a	n/a	n/a	n/a
239.49	17.898	fakerating	257.49	3	74	F	1
260.523	1.911	fixations	n/a	n/a	n/a	n/a	n/a
262.54	17.894	fakerating	280.539	3	128	F	1
283.456	1.63	fixations	n/a	n/a	n/a	n/a	n/a
285.189	17.897	fakerating	303.189	3	72	F	2
306.222	1.897	fixations	n/a	n/a	n/a	n/a	n/a
308.222	17.897	fakerating	326.221	3	85	F	1
329.254	2.461	fixations	n/a	n/a	n/a	n/a	n/a
331.821	17.894	fakerating	349.821	3	127	F	5
352.737	2.505	fixations	n/a	n/a	n/a	n/a	n/a
355.338	17.904	fakerating	373.337	3	61	F	2
376.37	2.146	fixations	n/a	n/a	n/a	n/a	n/a
378.603	17.913	fakerating	396.603	3	58	F	3
399.552	1.945	fixations	n/a	n/a	n/a	n/a	n/a
401.602	17.895	fakerating	419.602	3	57	F	1
422.635	2.573	fixations	n/a	n/a	n/a	n/a	n/a
425.302	17.906	fakerating	443.301	3	131	F	2
446.334	2.274	fixations	n/a	n/a	n/a	n/a	n/a
448.701	17.907	fakerating	466.7	3	91	F	1
469.734	2.144	fixations	n/a	n/a	n/a	n/a	n/a
471.917	4.961	intro&rest	n/a	n/a	n/a	n/a	n/a
476.984	17.894	fakerating	494.983	3	33	F	3
498.016	2.46	fixations	n/a	n/a	n/a	n/a	n/a
500.566	17.91	fakerating	518.566	3	77	F	1
521.599	1.431	fixations	n/a	n/a	n/a	n/a	n/a
523.132	17.898	fakerating	541.132	3	53	F	3
544.165	1.559	fixations	n/a	n/a	n/a	n/a	n/a
545.815	17.909	fakerating	563.814	3	36	F	1
566.848	1.686	fixations	n/a	n/a	n/a	n/a	n/a
568.631	17.903	fakerating	586.63	3	89	F	1
589.564	2.488	fixations	n/a	n/a	n/a	n/a	n/a
592.147	17.905	fakerating	610.146	3	62	F	3
613.23	2.093	fixations	n/a	n/a	n/a	n/a	n/a
615.413	17.91	fakerating	633.412	3	75	F	1
636.346	2.298	fixations	n/a	n/a	n/a	n/a	n/a
638.729	17.915	fakerating	656.729	3	63	F	3
659.762	2.059	fixations	n/a	n/a	n/a	n/a	n/a
661.911	17.91	fakerating	679.911	3	90	F	3
682.944	1.624	fixations	n/a	n/a	n/a	n/a	n/a
684.661	17.907	fakerating	702.66	3	76	F	1
705.694	1.874	fixations	n/a	n/a	n/a	n/a	n/a
707.594	4.974	intro&rest	n/a	n/a	n/a	n/a	n/a
712.66	17.908	realrating	730.659	3	119	R	1
733.693	2.086	fixations	n/a	n/a	n/a	n/a	n/a
735.876	17.903	realrating	753.875	3	118	R	1
756.809	2.704	fixations	n/a	n/a	n/a	n/a	n/a
759.609	17.904	realrating	777.608	3	114	R	3
780.541	1.684	fixations	n/a	n/a	n/a	n/a	n/a
782.325	17.9	realrating	800.324	3	115	R	5
803.257	1.447	fixations	n/a	n/a	n/a	n/a	n/a
804.807	17.897	realrating	822.807	3	112	R	5
825.84	1.474	fixations	n/a	n/a	n/a	n/a	n/a
827.423	17.891	realrating	845.423	3	121	R	6
848.339	2.576	fixations	n/a	n/a	n/a	n/a	n/a
851.023	17.892	realrating	869.022	3	134	R	6
872.055	1.885	fixations	n/a	n/a	n/a	n/a	n/a
874.039	17.901	realrating	892.038	3	102	R	6
894.971	2.011	fixations	n/a	n/a	n/a	n/a	n/a
897.088	17.894	realrating	915.087	3	113	R	4
918.004	1.74	fixations	n/a	n/a	n/a	n/a	n/a
919.854	17.89	realrating	937.837	3	116	R	2
940.87	2.138	fixations	n/a	n/a	n/a	n/a	n/a
943.037	1.971	intro&rest	n/a	n/a	n/a	n/a	n/a
