onset	duration	trial_type	onset_response	response_time	news_no	news_type	value
0.036	4.963	intro&rest	n/a	n/a	n/a	n/a	n/a
5.102	17.897	fakerating	23.085	3	63	F	2
26.118	2.059	fixations	n/a	n/a	n/a	n/a	n/a
28.301	17.876	fakerating	46.284	3	62	F	2
49.317	2.144	fixations	n/a	n/a	n/a	n/a	n/a
51.567	17.894	fakerating	69.55	3	77	F	1
72.583	1.431	fixations	n/a	n/a	n/a	n/a	n/a
74.133	17.881	fakerating	92.116	3	76	F	1
95.149	1.875	fixations	n/a	n/a	n/a	n/a	n/a
97.133	17.891	fakerating	115.115	3	33	F	4
118.149	2.459	fixations	n/a	n/a	n/a	n/a	n/a
120.699	17.909	fakerating	138.698	3	90	F	5
141.731	1.624	fixations	n/a	n/a	n/a	n/a	n/a
143.448	17.907	fakerating	161.447	3	36	F	5
164.481	1.686	fixations	n/a	n/a	n/a	n/a	n/a
166.264	17.903	fakerating	184.263	3	75	F	2
187.296	2.287	fixations	n/a	n/a	n/a	n/a	n/a
189.696	17.887	fakerating	207.679	3	53	F	4
210.713	1.558	fixations	n/a	n/a	n/a	n/a	n/a
212.379	17.892	fakerating	230.362	3	89	F	5
233.395	2.484	fixations	n/a	n/a	n/a	n/a	n/a
235.912	4.967	intro&rest	n/a	n/a	n/a	n/a	n/a
240.978	17.901	realrating	258.978	3	121	R	5
261.911	2.569	fixations	n/a	n/a	n/a	n/a	n/a
264.577	17.903	realrating	282.577	3	112	R	4
285.61	1.474	fixations	n/a	n/a	n/a	n/a	n/a
287.194	17.89	realrating	305.193	3	118	R	4
308.226	2.7	fixations	n/a	n/a	n/a	n/a	n/a
311.026	17.9	realrating	329.026	3	119	R	4
332.059	2.087	fixations	n/a	n/a	n/a	n/a	n/a
334.242	17.904	realrating	352.241	3	102	R	5
355.275	2.007	fixations	n/a	n/a	n/a	n/a	n/a
357.375	17.907	realrating	375.374	3	114	R	2
378.407	1.678	fixations	n/a	n/a	n/a	n/a	n/a
380.191	17.894	realrating	398.19	3	115	R	4
401.107	1.457	fixations	n/a	n/a	n/a	n/a	n/a
402.673	17.891	realrating	420.656	3	134	R	5
423.689	1.885	fixations	n/a	n/a	n/a	n/a	n/a
425.689	17.885	realrating	443.672	3	116	R	4
446.705	2.138	fixations	n/a	n/a	n/a	n/a	n/a
448.939	17.904	realrating	466.955	3	113	R	6
469.988	1.728	fixations	n/a	n/a	n/a	n/a	n/a
471.754	4.962	intro&rest	n/a	n/a	n/a	n/a	n/a
476.821	17.895	realrating	494.821	3	28	R	2
497.854	1.399	fixations	n/a	n/a	n/a	n/a	n/a
499.354	17.899	realrating	517.353	3	24	R	5
520.386	2.049	fixations	n/a	n/a	n/a	n/a	n/a
522.536	17.899	realrating	540.536	3	27	R	5
543.469	1.312	fixations	n/a	n/a	n/a	n/a	n/a
544.886	17.895	realrating	562.885	3	103	R	6
565.918	1.314	fixations	n/a	n/a	n/a	n/a	n/a
567.335	17.897	realrating	585.334	3	107	R	4
588.368	2.033	fixations	n/a	n/a	n/a	n/a	n/a
590.501	17.9	realrating	608.5	3	105	R	3
611.534	1.422	fixations	n/a	n/a	n/a	n/a	n/a
613.05	17.906	realrating	631.05	3	108	R	4
634.083	2.17	fixations	n/a	n/a	n/a	n/a	n/a
636.349	17.904	realrating	654.349	3	94	R	4
657.382	1.759	fixations	n/a	n/a	n/a	n/a	n/a
659.232	17.909	realrating	677.248	3	104	R	2
680.281	2.545	fixations	n/a	n/a	n/a	n/a	n/a
682.931	17.895	realrating	700.931	3	100	R	2
703.964	2.159	fixations	n/a	n/a	n/a	n/a	n/a
706.164	4.959	intro&rest	n/a	n/a	n/a	n/a	n/a
711.231	17.892	fakerating	729.23	3	127	F	2
732.263	2.505	fixations	n/a	n/a	n/a	n/a	n/a
734.863	17.905	fakerating	752.863	3	91	F	1
755.796	2.144	fixations	n/a	n/a	n/a	n/a	n/a
758.029	17.911	fakerating	776.045	3	72	F	4
779.078	1.897	fixations	n/a	n/a	n/a	n/a	n/a
781.078	17.897	fakerating	799.078	3	128	F	5
802.111	1.63	fixations	n/a	n/a	n/a	n/a	n/a
803.828	17.913	fakerating	821.844	3	61	F	5
824.877	2.146	fixations	n/a	n/a	n/a	n/a	n/a
827.127	17.896	fakerating	845.127	3	74	F	6
848.16	1.911	fixations	n/a	n/a	n/a	n/a	n/a
850.16	17.911	fakerating	868.159	3	58	F	1
871.192	1.945	fixations	n/a	n/a	n/a	n/a	n/a
873.242	17.895	fakerating	891.242	3	57	F	1
894.175	2.573	fixations	n/a	n/a	n/a	n/a	n/a
896.842	17.906	fakerating	914.841	3	131	F	6
917.874	2.274	fixations	n/a	n/a	n/a	n/a	n/a
920.241	17.907	fakerating	938.257	3	85	F	6
941.29	2.461	fixations	n/a	n/a	n/a	n/a	n/a
943.79	1.961	intro&rest	n/a	n/a	n/a	n/a	n/a
